()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>181</BIN><黑屏2><BGM>BGM_Brain</BGM>:...У мемориала безымянным жертвам.
()<Speaker></Speaker>||:Увидев, как карантинная стена и очистительная башня превращаются в руины, а вокруг роятся ЭЛИДы, Анже сжимает кулаки. +Она чувствует жгучую ярость, но не может найти способа проявить ее.
NPC-AngeStreet(0)<Speaker>Анже</Speaker>||:Башня для очистки разрушена. +Среди гарнизона на стене есть предатели. Мятежники также пробили брешь в карантинной стене.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Просто выскажи свою точку зрения.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Ты же знал об этом, да?! Разве ты не говорил, что Госбез устранил всех шпионов? Они же ничего не сделали, нихрена!
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Даже для Госбеза невозможно вычислить каждого предателя. Ошибки неизбежны.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Тц... ЭЛИДов слишком много, а людей у меня не хватает, не говоря уже о приближающейся буре. Времени мало. Мне нужно, чтобы ты прислал больше войск для поддержки в районе стены.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Я не могу.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Почему?! +Разве мы не договорились, что ты будешь оказывать поддержку в экстренных случаях?! +...Мне просто нужно, чтобы они уничтожили ЭЛИД, это же не такая уж и абсурдная просьба!
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Все агенты практически погибли. У меня больше нет людей, которых я мог бы отправить.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:...Все...погибли? +Как это могло случиться? А что с резервными командами?
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Их нет. Это всё, что мы получили от Главы Отдела Операций.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:... +Почему они не отнеслись к такой важной конференции со всей серьезностью? +Я соберу свою команду и сразу же отправлюсь в конференц-зал.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>В этом нет необходимости. Продолжай разведку.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Но посол Рощин...
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Он мертв.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:...
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Не дай их жертвам пропасть даром. Продолжай свою миссию.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:«Пусть их жертвы не будут напрасными...» +Мне вдруг пришла в голову ужасающая мысль... Хочешь послушать, что я подозреваю?
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Эти подозрения возникли за последние несколько секунд?</color> +<color=#00CCFF>Я считаю, что не обязан тебя слушать, да и объяснения тебе давать тоже не обязан—</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Я не уловила в твоём голосе ни тени удивления. +Даже с железной волей любой человек хотя бы немного засомневался бы перед лицом такого кризиса... +Поэтому я не могу не подозревать, что всё...
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>...</color> +<color=#00CCFF>Ты слишком много об этом думаешь. Как агент Госбеза, ты просто должна выполнять свою работу. Это единственное, на что ты годна.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Хм, а я-то думала, что это я здесь отступница.
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Тем более я тебе нужен.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:Неужели?
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Ты думаешь, что ты такая классная только потому, что когда-то совершила пару безумных подвигов?</color> +<color=#00CCFF>Конечно, я тебе нужен, если ты всё ещё хочешь достичь своей цели.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>;NPC-Jason(0)||:...
NPC-AngeStreet(0);NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Мне нет дела до того, что ты натворила или кем ты была раньше. Мне это совершенно безразлично.</color> +<color=#00CCFF>Сейчас только я могу определить, на чьей ты стороне, и только я могу по-настоящему защитить тебя.</color> +<color=#00CCFF>Надеюсь, ты это запомнишь и в будущем воздержишься от лишних комментариев. Возвращайся к выполнению своей миссии.</color>
NPC-AngeStreet(0)<Speaker>Анже</Speaker>||:...
()<Speaker></Speaker>||<黑屏1>:Анже заканчивает связь и молча смотрит вдаль.
