()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>136</BIN><黑屏2><BGM>BGM_Truth</BGM>:...В соборе.
()<Speaker></Speaker>||:Командир и Куклы укрываются в соборе, который чудом остался практически нетронутым. +Если бы кто-нибудь смог заделать ужасные следы пожара и убрать отвратительные остатки разорванных на куски ЭЛИД, то можно было бы даже разглядеть фрески, которые когда-то были символом святости и надежды.
RO635(3)<Speaker>RO635</Speaker>||:Как иронично...
()<Speaker></Speaker>||:RO635 и SOP-II ненадолго останавливаются перед статуей ангела... с оторванным крылом и головой, погребённой под обломками.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:RO, ты что-то сказала?
RO635(2)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:Ничего такого... Просто при виде собора на душе стало немного грустно. +Бог установил для людей законы и рассказал им, что такое справедливость, но посмотри — это место, которое должно быть Царством Божьим, теперь больше похоже на кладбище, чем на что-либо другое.
RO635(2)<Speaker></Speaker>;M4 SOPMOD IIMod(0)||:RO635 осторожно перешагивает через тело.
RO635(2)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:Люди прекрасно знают, что такое справедливость, но конфликты не прекращаются...
RO635(2);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Но Командир как-то сказал... как там был этот стих... +Ибо Бог... возлюбил людей...?
RO635(2)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:Ты имеешь в виду: «Ибо так возлюбил Бог мир, что отдал Сына Своего Единородного»?
RO635(2);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Да, именно так! +Слушай, разве не справедливо сказать, что всё так обернулось только потому, что люди злоупотребляли Божьей любовью и своей властью? +Войнам и конца-то нет...
RO635(2)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:Я бы сказала, что люди на самом деле не следуют Божьим заповедям...
RO635(2);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Но если то, что написано в этой книге, правда, то Бог всегда простит людей, что бы они ни сделали.
RO635(2);M4 SOPMOD IIMod(0)<Speaker></Speaker>||:SOP-II раздраженно пинает разбитую статую, валящуюся на полу.
RO635(2);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Этих людей... простят за то, что они разбили статуи. +Их простят за убийства... +Их даже простят за то, что они уничтожили целый город...
RO635(2)<Speaker></Speaker>;M4 SOPMOD IIMod(0)||:RO635 приобнимает SOP-II за плечо и взъерошивает ей волосы.
RO635(2)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||<黑屏1>:(Негромко) По крайней мере, наш Командир никогда не простит этих чудовищ... Мы последуем за Командиром и постепенно искореним все грехи, совершенные в этом мире.
()<Speaker></Speaker>||<BIN>136</BIN><黑屏2>:Тем временем... в другом конце собора.
TEC9(0)<Speaker>TEC-9</Speaker>||<震屏>:Аааа! +Почему в соборе люди?!
TEC9(0);NPC-KalinReporter(0)<Speaker>Калина</Speaker>||:Они пришли сюда в поисках убежища. Не кричи, ты их напугаешь.
TEC9(0)<Speaker>TEC-9</Speaker>||:(Бормочет) Они меня первыми напугали, ладно...
()<Speaker></Speaker>||:Чувствуя себя немного неловко, TEC-9 перезаряжает оружие, не выходя из укрытия, и открывает огонь по врагу. +Но ей вскоре приходится прекратить стрельбу.
TEC9(0)<Speaker>TEC-9</Speaker>||:(Поворачивается) Эй... можешь стучать зубами сколько хочешь, но не мог бы ты делать это не так громко...? +Это меня пугает...
()<Speaker></Speaker>||:Прижавшись к углу, несколько дрожащих детей с ужасом смотрят на TEC-9, которая стоит недалеко от них.
TEC9(0)<Speaker>TEC-9</Speaker>||:<color=#A9A9A9>(Да зачем я вообще разговариваю с людьми...?)</color> +<color=#A9A9A9>(Но если мне придётся и дальше стрелять по этим ЭЛИДам, меня точно стошнит.)</color>
孩童()<Speaker>Ребенок</Speaker>||:...Ты же убиваешь людей?
()<Speaker></Speaker>||:Этот неожиданный вопрос застал TEC-9 врасплох, и она немного растерялась.
TEC9(0)<Speaker>TEC-9</Speaker>||:<color=#A9A9A9>(Калина? Где Калина?)</color> +<color=#A9A9A9>(X95 пока не вернулась...?)</color>
TEC9(0)<Speaker>TEC-9</Speaker>||:Э-э... нет. +Я просто... убиваю монстров.
TEC9(0)<Speaker>Ребенок</Speaker>||:Ой, монстры. +Эти монстры... убили нашу маму... (Рыдает)
()<Speaker></Speaker>||:TEC-9 не знает, что сказать.
孩童()<Speaker>Ребенок</Speaker>||:Мы отомстим за маму!
TEC9(0)<Speaker>TEC-9</Speaker>||:<color=#A9A9A9>(Разве... этим людям не слишком рано обдумать о таких вещах...? Вздох.)</color>
TEC9(0)<Speaker>TEC-9</Speaker>||:В первую очередь нужно выжить.
TEC9(0)<Speaker>Ребенок</Speaker>||:Эм?
TEC9(0)<Speaker>TEC-9</Speaker>||:...Сейчас постарайся просто выжить. Убегай как можно дальше, когда увидишь этих монстров... +Остальное оставь нам.
NPC-KalinReporter(0)<Speaker>Калина</Speaker>||:Удивительно, что ты так нормально общаешься с людьми. +Так почему же ты не можешь так же поговорить с Командиром? Ты просто настоящая заноза в заднице—
()<Speaker></Speaker>||:Калина неожиданно появляется позади TEC-9.
TEC9(0)<Speaker>TEC-9</Speaker>||<震屏><黑屏1>:Э-э-э?! Откуда ты тут взялась, Калин?! +(Тяжело дышит) Не подходи так близко, ты меня пугаешь...
()<Speaker></Speaker>||<BIN>136</BIN><黑屏2><BGM>BGM_Empty</BGM>:...Пять минут спустя.
RO635(5)<Speaker>RO635</Speaker>||<BGM>BGM_Danger</BGM>:Командир, не время болтать! +Там снаружи толпа ЭЛИД... Тц, атаки становятся всё сильнее!
()<Speaker></Speaker>||:Сейчас действительно не время для болтовни. +Хотя я только что пообещал, что Куклы Грифона в состоянии удержать собор, судя по текущей ситуации, на самом деле это будет довольно непросто. +Все Куклы в своих командах начинают показывать признаки усталости.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Они вели огонь всё время, пока мы были внутри собора... +Уф... Теперь всё зависит от того, что наступит раньше — либо у нас закончится патроны, либо они убьют нас одного за другим. +Я мог бы разорвать их на части, но арти. обстрел снаружи тоже легко может отправить меня на тот свет...
RO635(3)<Speaker>RO635</Speaker>||:Хватит возиться, SOP-II. Выполняй приказ Командира. +Нам просто... придётся продержаться, пока не прибудут подкрепления.
