()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>202</BIN><黑屏2><BGM>BGM_Room</BGM>:...В диспетчерской поезда.
NPC-Kalin(0)<Speaker>Калина</Speaker>||:Мы завершили замедление и закончили сканирование в обоих направлениях. Сигналы противника не обнаружены.+Командир, в соответствии с вашим приказом мы остановились в 5 км от карантинной стены.+Вы уверены, что хотите остановиться здесь?
()<Speaker>Командир</Speaker>||:Да... потому что это узкое место. К северу находится залив Лахепере, а прямо на юге — озеро Клоога.+Нам нужно будет оборонять фронт длиной всего 2,5 км.
NPC-Kalin(0)<Speaker>Калина</Speaker>||:Может быть... нам стоит подойти чуть ближе к карантинной стене?
()<Speaker>Командир</Speaker>||:Нет. +Если мы подойдём к базе ещё ближе, системы обороны могут открыть по нам огонь.
NPC-Kalin(0)<Speaker>Калина</Speaker>||:Эх... Но разве оперативная группа DEFY только что не прислала нам сообщение, что они взяли проход под контроль?
()<Speaker>Командир</Speaker>||:А вдруг это вражеская ловушка? +Можно ли действительно доверять незнакомцам, которые утверждают, что они из DEFY?
NPC-Kalin(0)<Speaker>Калина</Speaker>||:Ух... Ты прав.
()<Speaker>Командир</Speaker>||:Относись ко всем и ко всему как к потенциально враждебным, пока мы не выясним ситуацию.+Настрой пушки поезда в соответствии с планом, держи их заряженными и готовыми к стрельбе.+После этого распредели эшелоны спереди, слева и справа от поезда и начни возводить укрытия там, где это позволяет рельеф местности. Размести ГОгПы в центре построения, чтобы обеспечить охват всей линии обороны.+Наконец, обеспечь все эшелоны полным запасом боеприпасов.
NPC-Kalin(0)<Speaker>Калина</Speaker>||:Поняла. +Мы готовимся к перехвату Военных здесь?
()<Speaker>Командир</Speaker>||:Я просто жду приказа. Ты же не думаешь, Калин, что эти старики собираются заставить нас в одиночку захватить стратегическую военно-морскую базу?
NPC-Kalin(0)<Speaker>Калина</Speaker>||:Что ты имеешь в виду?
()||<SE1>AVG_tele_connect</SE1><BGM>BGM_Empty</BGM>:По коммуникатору поступает срочное сообщение.
()<Speaker>Командир</Speaker>||<黑点1>:Я имею в виду вот это.
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||<BGM>BGM_Brain</BGM><黑点2>:<color=#00CCFF>Командир, похоже, вы прибыли в Палдиски.</color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||:Да, заплатив за это очень высокую цену.
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Итак, вы готовы приступить к операции?</color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||:Прежде чем мы начнём, не могли бы вы сказать мне правду?
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Правда? Мне кажется, я уже раньше чётко изложил вам ваши цели.</color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||:События в Таллинне, странное распределение сил Вооружённых сил и признаки необычной активности со стороны С.Ф. — ни одно из этих явлений не похоже на то, чем должна заниматься ЧВК.
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Действительно. Впрочем, Грифон уже давно должен был привыкнуть справляться с подобными вещами, верно?</color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||:Если мы нужны вам только в качестве пушечного мяса, то почему бы нам не остановиться здесь и не заблокировать проход Военным, пока силы Госбеза разберутся с ситуацией на базе?
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Ты имеешь в виду тех Вымпеловцев, которые умеют только на пейзажи смотреть?</color>+<color=#00CCFF>Ха-ха-ха, этот старый проказник тебе слишком много рассказал. Иногда знать слишком много — не к добру.</color>+<color=#00CCFF>Впрочем, мне нравится, как ты над всем глубоко размышляешь.</color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||:С тех пор как мы покинули территорию, контролируемую Грифоном, мои Куклы не могут выполнять резервное копирование в режиме реального времени.+А в отличие от Т-Кукол, у человеческих сотрудников Грифона и у моего офицера по логистике вообще нет возможности создавать резервные копии.+Даже если Грифон перемещают по доске, как шахматную фигуру, я не могу позволить им погибнуть, не узнав причину этого.
