()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>202</BIN><黑屏2><BGM>BGM_Room</BGM>:Кажется, с тех пор уже прошло столько времени... +Тогда я почти полностью потеряла надежду на то, что когда-нибудь снова воссоединюсь с Командой AR.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Слава богу, это было всего лишь «почти». В конце концов мы всё-таки снова нашли друг друга.
()<Speaker>Командир</Speaker>||:Вот почему вы показались только во время операции в Белграде...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Верно. Нам потребовалось немало времени, чтобы наконец попасть в транспортный корабль оперативной группы DEFY, и пока организм Анже еще восстанавливался, у нас не было никаких новостей. +Мы не могли успокоиться, пока отряд 404 наконец не сообщил нам, что ваша спасательная операция прошла успешно. +Когда мы узнали, что Грифон будет действовать в Белграде, мы сразу же выдвинулись туда.
RO635(0)<Speaker>RO635</Speaker>||:Так вот, в тот раз… Это тоже ты нам помогла в канализации?
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:Извини, это всё, что я смогла сделать.
RO635(0);M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Я знала, что ты не могла сделать что-то настолько впечатляющее, RO~
RO635(0)<Speaker>RO635</Speaker>||:Никто бы не смог взломать эту заблокированную систему изнутри, понятно?!
()<Speaker>Командир</Speaker>||:Я и не знал, что Нито вообще можно взломать, Данделион.
NytoIsomer(4)<Speaker>Данделион</Speaker>||:Если отряд 404 смог это сделать, почему я не могу? +Впрочем, с тех пор Парадеус усилил воздействие на мозг Изомеров, поэтому тогда я не смогла сразу же взять под контроль это тело.
AR15Mod(0)<Speaker>ST AR-15</Speaker>;NytoIsomer(4)||:Так вот почему ты хотела, чтобы мы с М4 сняли блокирующие устройства на головах Нито.
AR15Mod(0);NytoIsomer(4)<Speaker>Данделион</Speaker>||:Да, эти устройства не передают сообщения и сигналы с помощью радиоволн или каких-либо сетевых протоколов. Они просто способны думать.
AR15Mod(0);NytoIsomer(4)<Speaker>Командир</Speaker>||:Думать?
NytoIsomer(4)<Speaker>Данделион</Speaker>||:Именно. Вот почему между мной и Нито существует такая связь. Когда они думают, я чувствую их присутствие, их эмоции и даже их мысли.
NytoIsomer(4)<Speaker>Командир</Speaker>||:Я тут немного запутался... Как именно это делается?
NytoIsomer(4)<Speaker>Данделион</Speaker>||:Я тоже не совсем уверена. Это, по сути, что-то вроде инстинкта. +Моя цель — найти ответы на все эти вопросы, разве я тебе не говорила?
NytoIsomer(4)<Speaker>Командир</Speaker>||:Точно...
NytoIsomer(4)<Speaker>Данделион</Speaker>||:В любом случае, мы, наконец, стали на шаг ближе к нашей цели. +Думаю, я также доказала свою искренность, чтобы убедить вас в том, что мое существование не представляет для вас никакой угрозы?
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Твое существование пока терпимо, поскольку ты представляешь для нас стратегическую ценность. Я буду следить за каждым твоим шагом.
NytoIsomer(4)<Speaker>Данделион</Speaker>||:Мне этого вполне достаточно.
()<Speaker></Speaker>||:Тук-тук — кто-то стучит в дверь.
()<Speaker>UMP45</Speaker>||:Похоже, ваша трогательная встреча подошла к концу. Можно нам зайти?
()<Speaker>Командир</Speaker>||:Пожалуйста.
G11(0)<Speaker>Gr G11</Speaker>||:Ого, в этой комнате так тепло. Неужели мне потом придется выходить на мороз?
HK416Mod(0)<Speaker>416</Speaker>||:Ты не почувствуешь холода, даже если я тебя подожгу.
UMP9Mod(0)<Speaker>UMP9</Speaker>||:Командир стоит здесь же! Хватит дурачиться, вы двое!
NPC-Kalin(0)<Speaker>Калина</Speaker>||:А, вот и отряд 404. Как дела с файлом?
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Всё улажено.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Файлом?
NPC-Kalin(0)<Speaker>Калина</Speaker>||:Мы только что получили сообщение, которое, как мы подозреваем, пришло от Анже, но файл был сильно поврежден. Однако Мисс 45-я исправила это всего за несколько минут.
RO635(0)<Speaker>RO635</Speaker>||:Так Анже наконец-то связалась с тобой?
RO635(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:Тебе просто придётся его посмотреть, но я не думаю, что он тебе понравится. +Фройляйн Калина, я только что отправила его тебе.
NPC-Kalin(0)<Speaker>Калина</Speaker>;UMP45Mod(0)||:Большое спасибо. Получила.
NPC-Kalin(0)<Speaker>Калина</Speaker>||:Может, просто посмотреть это на большом экране?
()<Speaker>Командир</Speaker>||:Давай.
()<Speaker>РПК16</Speaker>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>Оперативная группа DEFY — Командиру Грифона.</color> +<color=#00CCFF>Это РПК-16. Я ещё не имела удовольствия познакомиться с вами, но не беспокойтесь, мы встретимся очень скоро.</color> +<color=#00CCFF>В настоящее время мы контролируем вход в карантинную зону, расположенный сразу за подводной базой Палдиски, но потеряли связь с Анжелией и остальными членами нашей команды.</color> +<color=#00CCFF>Путь к базе свободен. Мы останемся здесь, будем защищать эту позицию и ждать подкрепления от Грифона.</color> +<color=#00CCFF>РПК-16, конец связи.</color>
()<Speaker>Командир</Speaker>||<SE1>AVG_tele_disconnect</SE1>:Это, конечно, не совсем то, чего я ожидал...
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Похоже, у Анже возникли проблемы.
M4A1Mod(0)<Speaker>Командир</Speaker>||:Но, похоже, теперь наш приоритет определился.
M4A1Mod(0)<Speaker>Командир</Speaker>||<BGM>BGM_Empty</BGM>:RO, симуляции уже готовы?
