()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:...
M4A1()<Speaker>M4A1</Speaker>||:...RO?
()||:...Нет ответа. +M4A1 чувствует себя почти невесомой.
M4A1()<Speaker>M4A1</Speaker>||:Я... падаю? +Как долго я буду падать?
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||<黑屏1>:Ты просто спишь. Теперь просыпайся.
M4A1()<Speaker>M4A1</Speaker>||<BIN>100</BIN><黑屏2><BGM>BGM_Truth</BGM>:Просыпаться? Я просто хочу вернуться.
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Я провожу тебя обратно, следуя по тропе, которую ты не знаешь. +Сейчас я единственная, кто может тебе помочь, так что встречай это вместе со мной.
()||:...M4A1 чувствует, что снова впадает в оцепенение.
M4A1()<Speaker>M4A1</Speaker>||:С чем втретиться... с тобой?
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||<黑屏1>:Это то, что принадлежит нам.
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||<BIN>102</BIN><黑屏2>:Ты их тоже видишь, не так ли?
M4A1()<Speaker>M4A1</Speaker>||:Что... это?
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Фрагменты нашей памяти.
M4A1()<Speaker>M4A1</Speaker>||:Нашей...?
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Есть вещи, которые я не помню, но они есть в твоей памяти. +...Это такое приятное чувство.
M4A1()<Speaker>M4A1</Speaker>||:Эм?
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||<黑屏1>:Давай продолжим.
M4A1(2)<Speaker>M4A1</Speaker>||<BIN>10</BIN><黑屏2>:Где... мы находимся...?
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Глубины нашего сердца. Это имеет для тебя какой-то смысл?
M4A1(2)<Speaker>M4A1</Speaker>||:Я не знаю. Они причинят мне боль?
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Нет, если ты добровольно их примешь. +В твоей душе столько силы... +Силы, даже большей, чем моя.
M4A1(2)<Speaker>M4A1</Speaker>||:Сила...
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||:Призови их... прикажи им... прийти и спасти тебя... увести тебя отсюда... и доставить на другую сторону.
M4A1(2)<Speaker>M4A1</Speaker>||:Что там, на другой стороне?
稚嫩的女声()<Speaker>Юный женский голос</Speaker>||<黑点1>:Подарок. +Подарок... оставленный нам нашим «Отцом»...

