()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>202</BIN><黑屏2><BGM>BGM_Room</BGM>:...В комнате для подготовки 404-го отряда.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Проверь снаряжение, девчонки. Запаситесь патронами и готовьтесь к выходу.
HK416Mod(0)<Speaker>416</Speaker>||:Что такое? Похоже, тебя что-то беспокоит; ты не такая уверенная в себе, как обычно.
UMP9Mod(0)<Speaker>UMP9</Speaker>||:Уверена, даже 45-я нервничала бы, зная, что судьба стольких Кукол зависит от нас...
HK416Mod(0)<Speaker>416</Speaker>||:Куклы тоже нервничают?
UMP9Mod(0)<Speaker>UMP9</Speaker>||:Посмотри на Gr G11, она так нервничает, что едва стоит на ногах, правда?
G11(0)<Speaker>Gr G11</Speaker>||:Можно-можно-можно мне не идти...? + Это же прямо как... самоубийственная миссия.
HK416Mod(0)<Speaker>416</Speaker>||:Ты пойдёшь, даже если это самоубийство. Да и вообще, ты же не сможешь выжить одна без меня.
G11(0)<Speaker>Gr G11</Speaker>||:Ну, раз я не могу жить одна, то просто перееду к Грифону. Мне всего лишь нужен уголок, где я смогу спать...
HK416Mod(0)<Speaker>416</Speaker>||:Ах, как бы тебе хотелось! А теперь вставай!
UMP9Mod(0)<Speaker>UMP9</Speaker>||:Но всё-таки, ты действительно в порядке, 45-я? Кажется, с тобой что-то не так.
HK416Mod(0)<Speaker>416</Speaker>||:Наверное, она увидела что-то, чего не следовало видеть, в M4 или в нейронном облаке Данделион.+Эй, 45-я, я же тебе только что сказала.+Неважно, какая у тебя цель, сначала оглянись на своих друзей, прежде чем что-то делать. Уверена, у тебя в нейронном облаке памяти не так мало, как у Gr G11.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Хм, мне не нужны твои нотации. +Прежде чем нести всю эту чепуху, ты уже синхронизировала маршрут и карту?
UMP9Mod(0)<Speaker>UMP9</Speaker>||:Всё ОК, 45-я! +Выезжаем прямо к вентиляционному отверстию под карантинной стеной, потом пробираемся в вентиляционные каналы и идём по ним вдоль внутренней стороны стены до последнего известного местонахождения членов DEFY. +Если там действительно будут наши, то после связи с ними зайдём в диспетчерскую барьерных ворот, а потом воспользуемся тем доступом для активации, о котором они говорили, чтобы открыть ворота и впустить Командира.
HK416Mod(0)<Speaker>416</Speaker>||:У тебя это звучит так просто.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Это если, конечно, мы не наткнемся на врагов.+Если сигнал окажется ловушкой, то шансы, что нас продырявят, очень высоки.+Если это будут наши старые друзья из С.Ф., то ничего страшного, но если на нас набросится Парадеус, то в таком случае можешь уже начинать придумывать свои последние слова.
G11(0)<Speaker>Gr G11</Speaker>||:(Вздыхает) Может, обсудим это? Может, я просто подожду в поезде и пойду туда, когда ты убедишься, что там безопасно?
HK416Mod(0)<Speaker>416</Speaker>||:Ещё одна глупость из твоих уст — и я привяжу тебя к своему оружию и использую в качестве живого щита!+Ладно, нет смысла об этом беспокоиться. Нам нужно как можно скорее разобраться с воротами, пока Командир и остальные не утонули под обстрелом.+А после этого останется только надеяться, что Команда AR окажется такой же надёжной, как и мы.
UMP9Mod(0)<Speaker>UMP9</Speaker>||:Бои за береговые орудия обещают быть по-настоящему ожесточёнными...  А они действительно справятся?
UMP45Mod(0)<Speaker>UMP45</Speaker>||<黑屏1>:В любом случае, об этом не стоит беспокоиться. Если все готовы, то в путь!
