()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>202</BIN><黑屏2><BGM>BGM_Sneak</BGM>:...В комнате для подготовки Команды AR.
M4A1Mod(4)<Speaker>M4A1</Speaker>||:Командир передал нам приказы. Наша задача — захватить артиллерию береговой обороны и обеспечить огневую поддержку обороняющимся войскам Грифона. +Готовы выдвигаться?
RO635-NoArmor(0)<Speaker>RO635</Speaker>||:Конечно. +Пора этим зелёным ублюдкам почувствовать, что такое страх.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Давайте всех их взорвём до основания!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Не будь слишком оптимистичной. Скорее всего, на пути к цели нам придётся столкнуться с серьёзным сопротивлением. К тому же Военные могут выслать быстромобильные подразделения, чтобы перехватить нас, а в худшем случае — и защитники, удерживающие огневые позиции, и преследователи начнут атаковать нас одновременно.
RO635-NoArmor(0)<Speaker>RO635</Speaker>||:Сколько бы симуляций я ни провела, самый худший вариант всё равно остаётся самым вероятным...
M4A1Mod(4)<Speaker>M4A1</Speaker>||:Вот почему скорость — это самое главное. Мы проникнем на базу через пролом в северо-западной части карантинной стены, пройдем через район ветровых электростанций и попадем в бункерный комплекс. +Серверный узел, управляющий автоматизированными системами береговых орудий, скорее всего, находится в одном из этих бункеров. Данделион воспользуется своими отличными навыками хакера, чтобы найти этот узел и вывести его из строя.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Данделион? +Разве она не остаётся в поезде?
NytoIsomer(4)<Speaker>Данделион</Speaker>||:Я буду оказывать ей электронную поддержку через свои связи с «Лунасией». Даже не находясь рядом с ней, я могу сделать что-то такое простое.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Можно ли действительно на неё положиться...
NytoIsomer(4)<Speaker>Данделион</Speaker>||:Я уже доказала, на что способна в Таллинне. Если кто-то из вас считает, что подходит для хакинга лучше, чем я, то с удовольствием уступлю ей своё место.
RO635-NoArmor(0)<Speaker>RO635</Speaker>||:Кхм... Я синхронизировала маршруты со всеми. Надеюсь, все пройдет гладко. А пока постарайтесь сократить время в пути. +SOP-II, ты будешь вести огонь с крыши. Не скупись на патроны: если увидишь врагов, не раздумывай и обстреливай их со всей мощью, чтобы не дать им приблизиться к нашей машине. У нас нет времени тратить его на мелкий мусор.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Без проблем! Я разнесу всех врагов на нашем пути на мелькие-мелькие кусочки!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:А это действительно будет нормально? Ведь после этого нам придётся сражаться в одиночку.
RO635-NoArmor(0)<Speaker>RO635</Speaker>||:Калина уже загрузила в машину всю амуницию, которая подходит для SOP-II. Если мы её не израсходуем, то взять с собой не сможем.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Похоже, Командир делает на нас крупную ставку. 
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Ага, вот почему мы не можем подвести Командира. Если больше ничего нет, давайте выдвигаться.
()<Speaker>Команда AR</Speaker>||<黑屏1>:Принято!
