()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>182</BIN><黑屏2><BGM>BGM_Sneak</BGM>:...Полчаса спустя. +У входа в конференц-зал.
RO635(4)<Speaker>RO635</Speaker>||:Если так пойдет дальше... Нет... весь город окажется в опасности!
()<Speaker></Speaker>||:Заражённые устремляются к центру города со всех сторон. RO635 и команда Командира практически окружены толпой за пределами конференц-зала.
RO635(4)<Speaker>RO635</Speaker>||:Командир, мы не сможем сражаться со всеми...! +Это место скоро будет полностью захвачено зараженными тварями! Нам нужно отступать в собор!
()<Speaker></Speaker>||:Клик— +И вдруг в канале связи снова раздался голос К.
NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Это всё, на что способен Грифон?</color>
RO635(4)<Speaker>RO635</Speaker>;NPC-Jason(0)||:Да пошел он, этот ублюдок, который умеет только насмехаться по ту сторону линии!
NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Ваши жизни не имеют значения, но если с VIP-персоной что-нибудь случится, у Грифона больше не будет смысла в существовании.</color>
NPC-Jason(0)<Speaker>Командир</Speaker>||:Ять... мы всё ещё находимся в зоне досягаемости оружия. Как только выйдем из-за укрытия здания, они сразу же попытаются нас пристрелить!
NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Их арт.позиции были выведены из строя.</color>
NPC-Jason(0)<Speaker>Командир</Speaker>||:Это дело рук агентов?
NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Да, но это была самоубийственная миссия. Они купили тебе этот шанс ценой своих жизней.</color>
()<Speaker>Командир</Speaker>||:...Я им безмерно благодарен. RO, пусть все команды готовятся к действию и приступают к эвакуации VIP-персоны!
RO635(4)<Speaker>RO635</Speaker>||:Пешком...?! Но в таких условиях...
RO635(4)<Speaker>Командир</Speaker>||:Если останемся здесь, мы будем просто легкой добычей! Беги!
RO635(4)<Speaker>RO635</Speaker>||:Поняла! SOP-II, пусть остальные команды ждут на флангах. Мы выдвигаемся!
NPC-KalinReporter(0)<Speaker>Калина</Speaker>||:Командир, тебе лучше подойти сюда!
NPC-KalinReporter(0)<Speaker>Командир</Speaker>||:Что такое?
NPC-KalinReporter(0)<Speaker>Калина</Speaker>||:Председатель Ульрих приходит в себя... Я не знаю, как ей объяснить ситуацию...
()<Speaker>Командир</Speaker>||:Все в порядке, доверь это мне. +Госпожа председатель, вы меня слышите?
NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:(Стоны) Больно... Что случилось...?
NPC-Ambassador(0)<Speaker>Командир</Speaker>||:Пожалуйста, сохраняйте спокойствие и слушайте меня. +Конференцию сорвали. ЭЛИДы проникли в город. Мы — последние из вашей охраны. С этого момента вам необходимо строго следовать нашим указаниям. Мы защитим вас и выведем в безопасное место.
NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:По...поняла... Это террористический акт? Посол Рощин был...
NPC-Ambassador(0)<Speaker>Командир</Speaker>||:Простите, всё произошло очень неожиданно. Боюсь, что большинство охранников в конференц-зале погибли. Как и посол Рощин.
NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:Ох...
NPC-Ambassador(0)<Speaker>Командир</Speaker>||:Вы выглядите гораздо лучше, чем я ожидал.
NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:Не стоит слишком переживать за меня. Я не впервые попадаю в кризисную ситуацию. +К тому же я была полностью готова умереть здесь ещё до того, как сюда приехала.
()<Speaker>Командир</Speaker>||:Вы здесь НЕ умрете. RO, ты ещё здесь?
RO635(2)<Speaker>RO635</Speaker>||:Все команды полностью готовы. Мы готовы выдвигаться в любой момент.
RO635(2)<Speaker>Командир</Speaker>||:Хорошо. Госпожа председатель, это RO635, моя помощница. Она будет вашей телехранительницей.
RO635(2)<Speaker>RO635</Speaker>||:Я?
RO635(2)<Speaker>Командир</Speaker>||:Ты справишься? Я прикажу остальным командам расчистить путь впереди. Ты и твоя команда должны сопровождать председателя и обеспечить её безопасность.
RO635(2)<Speaker>RO635</Speaker>||<黑点1>:Да, Командир. Я не позволю, чтобы с её головы пропал хоть один волосок.
()<Speaker></Speaker>||<BIN>86</BIN><黑点2><BGM>BGM_Empty</BGM>:RO635 прикрывает Председателя, пока они ищут укрытие.
RO635(2)<Speaker>RO635</Speaker>||<BGM>BGM_Sneak</BGM>:Извините, что заставила вас увидеть такую ужасную сцену... +Я — Тактическая Кукла RO635 из компании Грифон. С этого момента я буду отвечать за вашу личную безопасность.
RO635(2);NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:Спасибо. +Хотя я не уверена, что я на самом деле такой уж и важна.
RO635(2)<Speaker>RO635</Speaker>;NPC-Ambassador(0)||<黑屏1>:Я слышала вашу речь. Миру нужны такие люди, как вы, способные по-настоящему принести мир, поэтому вы не можете здесь погибнуть. +Командир и моя команда Тактических Кукол позаботятся о вашей безопасности!
()<Speaker></Speaker>||<BIN>86</BIN><黑屏2>:Через несколько минут... В одном из районов Белграда.
()<Speaker></Speaker>||:Группа Грифона движется на предельной скорости. +В отличие от Кукол вокруг неё, Председательница начинает задыхаться. +Заметив, что Председательнице тяжело, RO635 приказывает своей команде остановиться.
RO635(2)<Speaker>RO635</Speaker>||:Мадам, давайте сделаем здесь небольшой перерыв.
RO635(2);NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:П...Прости...что задерживаю тебя...
RO635(2)<Speaker>RO635</Speaker>;NPC-Ambassador(0)||:Ничего страшного. Дороги временно перекрыты баррикадами. Командир пытается проложить нам путь, так что нам всё равно придётся остановиться и дождаться новостей от наших передовых отрядов. +К тому же собор, к которому мы направляемся, находится недалеко отсюда. Небольшая остановка, чтобы передохнуть и набраться сил, — это не страшно.
RO635(2);NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:Собор...? +По-моему, недалеко отсюда есть жилой район. +Интересно, затронул ли этот теракт местных жителей...
RO635(2)<Speaker>RO635</Speaker>;NPC-Ambassador(0)||:Не беспокойтесь, мадам. Наше подкрепление прибудет очень скоро.
RO635(2)<Speaker>RO635</Speaker>||:<color=#A9A9A9>(Надеюсь...)</color>
()<Speaker>???</Speaker>||<SE1>Select</SE1>:Правда? У вас действительно есть подкрепление?
RO635(5)<Speaker>RO635</Speaker>||<震屏><BGM>BGM_Empty</BGM>:!! +Кто это?!
()<Speaker></Speaker>||<BGM>BGM_Danger</BGM>:Презрительный смешок на фоне грохота выстрелов режет слух. RO635 встает перед Председательницей и настороженно смотрит на неё.
NPC-Nimogen(0)<Speaker>Загадочная девушка</Speaker>||:Ложь — это плохая привычка, RO635~ Просто будь хорошей девочкой и отдай мне эту женщину, чтобы потом умереть с чистой совестью.
RO635(4)<Speaker>RO635</Speaker>||:Ты что, Нито?! Всем, огонь на подавление!
NPC-Nimogen(0)<Speaker>Загадочная девушка</Speaker>||:Нито? Пожалуйста, не оскорбляй меня этим безвкусным именем? +Я — Нимоген, твой гробовщик. +Ну, как бы мне расположить твои останки? Хи-хи-хи-хи~
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:В этот момент белые мехи, стоящие позади неё, открывают шквал огня по команде RO635.
RO635(5)<Speaker>RO635</Speaker>||:Ты с ума сошла?! +Тебе всё равно, что ты можешь убить свою цель?!
