()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>55</BIN><黑屏2>:На окраине Таллинна. +Команда AR прибывает на место, где предстоит развернуть оборонительные позиции, и ждёт начала операции.
RO635(0)<Speaker>RO635</Speaker>||<BGM>BGM_Sneak</BGM>:Поняла, командир. Мы согласуем действия с другими эшелонами. Штурм оставь нам. +Поняла. Ждем ваши дальнейшие распоряжения.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Ты уже ознакомилась с нашим планом действий?
RO635(0)<Speaker>RO635</Speaker>||:Да, тут все в порядке. +AR-15, а действительно ли стоит отпускать M4 одну?
AR15Mod(3)<Speaker>ST AR-15</Speaker>||:Это её решение, и нам стоит довериться нашему лидеру. +К тому же, судя по текущей ситуации, это лучший вариант действий.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Я тоже немного волнуюсь... +Если то, о чём нам рассказала M4, действительно произойдёт... разве она не окажется в смертельной опасности?
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Не переживай так. Она теперь гораздо решительнее, чем раньше.
RO635(0)<Speaker>RO635</Speaker>||:Кстати, а что было дальше, когда ты связалась с M4?
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Ты действительно хочешь это знать?
RO635(0)<Speaker>RO635</Speaker>||:Ага. Вы с ней стали... какими-то другими после того, как признались в своих чувствах.
AR15Mod(3)<Speaker>ST AR-15</Speaker>||:На самом деле, ничего особенного не было. +Мы просто отказались от пары дурацких приглашений и стали свидетелями нескольких неприятных моментов.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:AR-15... +Наверное, я не совсем поняла...
AR15Mod(4)<Speaker>ST AR-15</Speaker>||:...Наверное, так даже лучше. +Незнание — это счастье.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Ладно... Мне всё равно такие вещи никогда не были важны. +Я просто хочу, чтобы мы все оставались вместе!
()<Speaker></Speaker>||<黑点1>:И вот, вдали слышны выстрелы. +В это же время все члены команды AR получают входящий запрос на связь.
RO635(4)<Speaker>RO635</Speaker>||<黑点2>:...Они открыли огонь раньше срока. Что-то здесь не так.
AR15Mod(2)<Speaker>ST AR-15</Speaker>||:Честно говоря, я не ожидала, что командир придумает план по захвату бронированного поезда...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:А что тут такого? Мне этот план даже нравится! Если у нас получится, мы сможем устроить грандиозный фейерверк!
RO635(0)<Speaker>RO635</Speaker>||:Удивительно, что ты до сих пор так оптимистична... Я бы уже считала себя счастливой, если нас самих не разнесут на куски, прежде чем мы даже доберёмся до поезда...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Похоже, у 404-го планы изменились. Готовься к бою.
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1><BGM>BGM_Empty</BGM>:Связь установлена.
UMP45Mod(0)<Speaker>UMP45</Speaker><scan><通讯框>||<BGM>BGM_Pervaded</BGM>:<color=#00CCFF>Вокруг бронированного поезда больше часовых, чем мы ожидали.</color>+<color=#00CCFF>Наше проникновение обнаружили, но нам некуда отступать.</color>
AR15Mod(0)<Speaker>ST AR-15</Speaker>;UMP45Mod(0)||:Может, кто-то пнул камень, и тот загремел?
AR15Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker><scan><通讯框>||:<color=#00CCFF>Это бы, на самом деле, упростило дело.</color>+<color=#00CCFF>Поезд противника находится в полной боевой готовности и, похоже, не решается въехать в город.</color>+<color=#00CCFF>Похоже, у них и новой цели нет после того, как они взорвали поезд Командира.</color>+<color=#00CCFF>Но их пехота уже высадилась из поезда. Мы не видим ни одного человеческого солдата, зато тут полно юнитов, с которыми мы раньше не сталкивались...</color>+<color=#00CCFF>В общем, если Командир хочет, чтобы план сработал, тебе придётся нам помочь.</color>
RO635(0)<Speaker>RO635</Speaker>;UMP45Mod(0)||:Похоже, Командиру придётся изменить свои планы.
RO635(0);UMP45Mod(0)<Speaker>UMP45</Speaker><scan><通讯框>||:<color=#00CCFF>В смысле, мы же хрупкие и нежные Куклы, которые годятся разве что на грязную работу, просить нас захватить такой огромный кусок металлической техники — это уже перебор.</color>
RO635(2);HK416Mod(0)<Speaker>416</Speaker><scan><通讯框>||:<color=#00CCFF><size=30>А, так ты это ДЕЙСТВИТЕЛЬНО знаешь. Тогда зачем ты вообще согласилась на этот план...?</size></color>
RO635(2)<Speaker>RO635</Speaker>;HK416Mod(0)||:Сейчас уже поздно жаловаться.
RO635(0)<Speaker>RO635</Speaker>||:Командир, это Команда AR. Силы Грифона готовы. Отряд 404 тоже занял позицию, но нуждается в поддержке. Как нам действовать? <c>В первую очередь спасать отряд 404. <c>Сосредоточить огонь на прорыве обороны бронированного поезда.
()<Speaker>Командир</Speaker>||<分支>1</分支>:Сделайте спасение отряда 404 приоритетной задачей. +Без них мы не сможем взять под контроль систему управления поездом.
UMP45Mod(0)<Speaker>UMP45</Speaker><scan><通讯框>||<分支>1</分支>:<color=#00CCFF>Я вижу, что вы понимаете, чего мы стоим, Командир.</color>
()<Speaker>Командир</Speaker>||<分支>2</分支>:Сосредоточь огонь на прорыве обороны бронированного поезда. +Мы начнём блиц-атаку с другой стороны и застанем их врасплох. +Это должно немного разгрузить 404-й отряд.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<分支>2</分支>:Решение, которое вполне в вашем духе, Командир.
RO635(0)<Speaker>RO635</Speaker>||<黑屏1>:Поняла. Тогда я сразу отдам приказ. +Операция «Золотое руно» — начата. +В атаку!
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN><SE2>Gunfight</SE2><BGM>BGM_Empty</BGM>:... +......
()<Speaker></Speaker>||<SE1>Explode</SE1><黑屏1>:...БУМ!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<BGM>BGM_Reverse</BGM><BIN>208</BIN><黑屏2>:(Кашляет) Эта штука... даже острее, чем пушки Сангвиса Ферри...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Будь осторожнее. С такой огневой мощью… Если нас поразят в лоб, от нашего ядра не останется и крошки.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Я знаю! Ни за что на свете не позволю им разнести меня на куски!
RO635(0)<Speaker>RO635</Speaker>||:UMP45, отчет о положении дел!
UMP45Mod(0)<Speaker>UMP45</Speaker><scan><通讯框>||:<color=#00CCFF>До поезда ещё 600 метров!</color>+<color=#00CCFF>Большая часть пехоты движется в твою сторону, но пока пушки ещё работают, мы не можем подойти ближе!</color>
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Похоже, нам придётся двигаться дальше. SOP-II, вперед.
RO635(4)<Speaker>RO635</Speaker>||:Подожди, а что ты собираешься делать?
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Мы — самые совершенные Куклы здесь. +Поэтому мы должны делать то, что под силу только нам.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Мы что, побежим?!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Точно. SOP-II, задействуй все свои чувства, чтобы уклониться от их артиллерийского огня. +Конечно, я пойду с тобой.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Звучит опасно... Но это будет интересный вызов!
RO635(4)<Speaker>RO635</Speaker>||:Ты... Я тоже пойду!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Нет, ты оставайся здесь. Пока М4 в другом месте, только ты можешь координировать столько эшелонов. +Не думаю, что ты сможешь одновременно обеспечивать поддержку штаба и наших войск, уклоняясь от артиллерийских снарядов.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Не волнуйся, RO! +У нас всё будет хорошо!
RO635(0)<Speaker>RO635</Speaker>||:...Ладно. +Тогда я постараюсь как можно больше облегчить тебе работу с ГОгП.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Пойдет. +Давай, SOP-II.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<黑点1>:Хо-ро-шо!
()<Speaker></Speaker>||<SE1>Explode</SE1><SE2>Gunfight</SE2><黑点2>:...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Им понадобится 10 секунд, чтобы перезарядиться. Смотри под ноги, SOP-II!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Я знаю, но там же не одна пушка!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Тогда доверьтесь своей интуиции!
RO635(0)<Speaker>RO635</Speaker><scan><通讯框>||:<color=#00CCFF>Просто продержись ещё чуть-чуть! ГОгП скоро окажется в зоне досягаемости!</color>
()<Speaker></Speaker>||<SE1>Explode</SE1>:...БУМ!!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Уаааааа!!!
AR15Mod(5)<Speaker>ST AR-15</Speaker>||:SOP-II!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Я в порядке! Но у меня скоро закончатся Болванки! +Поторопись, RO!
RO635(0)<Speaker>RO635</Speaker><scan><通讯框>||:<color=#00CCFF>Дай мне 15 секунд!!</color>
AR15Mod(4)<Speaker>ST AR-15</Speaker>||:(Кашляет) Наверное, они нас очень высоко ценят, раз послали такого колосса, чтобы нас раздавить.
RO635(0)<Speaker>RO635</Speaker><scan><通讯框>||:<color=#00CCFF>ГОгП, в атаку!</color>
()<Speaker></Speaker>||<SE1>Explode</SE1>:... +ГОгП Грифона успешно уничтожает пушки на бронированном поезде.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Сейчас, SOP-II!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:HAAAAAAAAAAARGH!! +Без ваших пушек, которые могли бы спасти вам задницу, наблюдайте, как я вас всех разорву на куски!!!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:SOP-II, главное — успеть сесть в поезд!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Я расчищаю путь!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<黑点1>:...Ладно, не переусердствуй.
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><黑点2><BIN>202</BIN>:Через несколько минут. +Команда AR успешно проникла на борт бронированного поезда.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BGM>BGM_Room</BGM>:RO, у нас получилось. Где диспетчерская?
RO635(0)<Speaker>RO635</Speaker><scan><通讯框>||:<color=#00CCFF>В средней части поезда...</color>
UMP45Mod(0)<Speaker>UMP45</Speaker><scan><通讯框>||:<color=#00CCFF>Мы уже в диспетчерской. Сейчас пытаемся получить разрешение на управление поездом.</color>+<color=#00CCFF>Пожалуйста, прикрой нас с тыла и не дай врагам помешать нам.</color>
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Э...? А вы когда сюда пришли?
UMP45Mod(0)<Speaker>UMP45</Speaker><scan><通讯框>||:<color=#00CCFF>Пока ты там бешено орала.</color>+<color=#00CCFF>В любом случае, мы оставляем всё это тебе.</color>
RO635(0)<Speaker>RO635</Speaker><scan><通讯框>||<黑屏1>:<color=#00CCFF>AR-15, SOP-II, наши эшелоны и я направляемся к вам, чтобы перегруппироваться. Время прибытия — через четыре минуты.</color>+<color=#00CCFF>Пожалуйста, прикрой диспетчерскую для 404-го отряда, пока мы не подъедем!</color>
