()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>167</BIN><SE1>Alarm</SE1><SE2>Gunfight</SE2>:...
AR15Mod(5)<Speaker>ST AR-15</Speaker>||<BGM>BGM_Danger</BGM>:Их слишком много!
AN94(4)<Speaker>AN-94</Speaker>;AR15Mod(5)||:Рассчитываю... +Вероятность нашей победы меньше одного процента — практически нулевая.
AN94(4);AR15Mod(5)<Speaker>ST AR-15</Speaker>||:Они слишком близко, мы не можем от них оторваться! Давай сначала отразим эту волну!
AN94(4)<Speaker>AN-94</Speaker>;AR15Mod(5)||:Да даже вдвоём мы не справимся с таким количеством. Иди первой. Я выиграю для тебя время.
AN94(4);AR15Mod(5)<Speaker>ST AR-15</Speaker>||:Это же бред! Мы же партнёры, пусть даже временные! Мы идём вместе!
AN94(2)<Speaker>AN-94</Speaker>;AR15Mod(5)||:Она просто мастер по радиоэлектронной борьбе! Если мы будем вместе, она легко сможет атаковать нас обеих! +Ты не внесена в сеть Зенер, так что тебя не обнаружат! Я прикрою твой побег, а ты, как только выберешься отсюда, обязательно сообщи об этом Анже!
AN94(2);AR15Mod(5)<Speaker>ST AR-15</Speaker>||:Хватит говорить об этом! Давай просто разбежимся в разные стороны! +Здесь просто лабиринт, они же не смогут перекрыть все проходы.
AN94(4)<Speaker>AN-94</Speaker>;AR15Mod(5)||:Я должна прикрывать твой отход в случае чрезвычайной ситуации. Так сказала АК-12.
AN94(4);AR15Mod(5)<Speaker>ST AR-15</Speaker>||:Неужели сейчас самое время вспоминать об АК-12?!
AN94(2)<Speaker>AN-94</Speaker>;AR15Mod(5)||:Я могу сделать резервную копию своего нейронного облака, а ты — нет! +Я не буду просто сидеть и ждать, пока меня убьют. Я сама найду способ сбежать, как только выиграю для тебя достаточно времени! +Так что просто уходи!
AN94(2);AR15Mod(4)<Speaker>ST AR-15</Speaker>||<SE1>RunStep</SE1>:Ять... Я ещё к тебе вернусь. Не сдохни просто так, АН-94!
AN94(2)<Speaker></Speaker>||:С этими словами AR-15 разворачивается и убегает в какой-то проход. +Перед лицом, казалось бы, бесконечного потока белых монстров АН-94 без колебаний нажимает на курок.
AN94(2);NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>||:Так просто бросить товарища по команде? +Это бесполезно, совершенно бесполезно! +«Чтобы всё то суровое, что невыносимо наполняет его, не разбило и не уничтожило его». +Тебе никак не уйти от судьбы превратиться в кучу раскиданных частей.
AN94(0)<Speaker>AN-94</Speaker>;NPC-Mercurows(0)||<黑屏1><BGM>BGM_Empty</BGM>:Нет. +Я выполню миссию... безупречно... и вернусь к ней. +Вот почему она должна... выбраться отсюда... с этим фрагментом воспоминаний!
AR15Mod(4)<Speaker>ST AR-15</Speaker>||<BIN>9</BIN><黑点2><黑屏1><SE1>RunStep</SE1>:Они никак не сдаются... Эти чертовы твари! +<color=#A9A9A9>Сохраняй спокойствие, AR-15... Отобрази карту, сохраненную в моем нейронном облаке.</color> +<color=#A9A9A9>Где я...?</color> +<color=#A9A9A9>Какой маршрут лучше выбрать...? Надо это просчитать, пока не израсходовала слишком много боеприпасов!</color> +Мне нужно еще чуть-чуть — нет, всего две минуты...
NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>||<BGM>BGM_Sad</BGM><黑屏2><BIN>41</BIN>:Молодец. Уверена, AR-15 к этому моменту уже успела убежать куда-то далеко? +Прежде чем начинать погоню, нам сначала нужно покончить с этой маленькой игрой.
AN94(4)<Speaker>AN-94</Speaker>;NPC-Mercurows(0)||:(Сильно дрожит)
AN94(4);NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>||:Твое тело так сильно перегрелось, что тебе приходится делать глубокие вдохи, чтобы охладиться. Ты уже достаточно постаралась. +Почему бы тебе просто не прилечь, как хорошая, сломанная Кукла? +«Сегодняшняя вселенная обладает безграничностью забвения и ясностью бреда». Оставь своё тело и засыпай.
AN94(4)<Speaker>AN-94</Speaker>;NPC-Mercurows(0)||<SE1>Select</SE1>:...
AN94(4);NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>||<SE1>Gunfight</SE1>:Ого...! +Чуть не попала... Меня чуть не задело. +Ты действительно оправдываешь своё звание Элитной Куклы! Даже в таком состоянии ты не перестаёшь сопротивляться.
AN94(5)<Speaker>AN-94</Speaker>;NPC-Mercurows(0)||:Конечно... (Задыхается) +Пока я... ещё способна действовать, я не... сдамся.
AN94(5);NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>||:И это ты говоришь, даже стоя перед лицом неминуемой смерти? Теперь я начинаю тебя жалеть. +Тебя что, действительно двигает что-то вроде человеческого сердца? Нет, ни в коем случае. Ты всего лишь неживой сосуд. +...Неважно. Мне неинтересно смотреть на трагический конец запертого ягненка. +Стань жертвой зверям! «Ибо Ты будешь стеной огненной вокруг меня, и Ты будешь славой посреди меня!» Будь почитаема... а потом просто превратись в хлам.
AN94(5)<Speaker></Speaker>||:Меркьюуроуз поворачивается, чтобы уйти.
