()||<BGM>BGM_Empty</BGM><BIN>9</BIN><黑屏1>0,10</黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>202</BIN>:
()||<BGM>BGM_Room</BGM>:12 часов назад.
NPC-Kalin(0)<Speaker>Калина</Speaker>||:Командир, это тот господин из I.O.P...
()<Speaker>Командир</Speaker>||:Наконец-то. Соедини его по зашифрованному каналу.
NPC-Kalin(1)<Speaker>Калина</Speaker>||:Хорошо, секундочку.
()||<SE1>AVG_tele_connect</SE1><BGM>BGM_Empty</BGM>:...Клик.
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||<BGM>BGM_Pervaded</BGM>:<color=#00CCFF>Ах, мой уважаемый Командир. Давно не виделись.</color>
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Вам понравилась поездка в Белград?</color><c>Прости, что не смог избежать катастрофы. <c>Я бы не сказал, что мне это «понравилось».
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||<分支>1</分支>:Извини, что не смог предотвратить эту беду.
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||<分支>1</分支>:<color=#00CCFF>Не мучай себя из-за этого, Командир. Впереди тебя ждут гораздо худшие вещи... так что будь готов.</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||<分支>1</分支>:...Ты просто невероятно невозмутим.
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||<分支>1</分支>:<color=#00CCFF>Важно сохранять хорошее психическое здоровье, иначе в этом безумном мире тебе не прожить и дня.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||<分支>1</分支>:<color=#00CCFF>Дело не закончится за день-другой. Приготовься к затяжной битве, Командир.</color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||<分支>2</分支>:Я бы не сказал, что мне это «понравилось».
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||<分支>2</分支>:<color=#00CCFF>А почему бы и нет? Большинство жителей успели укрыться вовремя, тебе удалось запечатать проход, пока не стало слишком поздно, и сейчас идет работа по дезактивации.</color>
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||<分支>2</分支>:<color=#00CCFF>Тебе удалось свести ущерб к минимуму. Это само по себе заслуживает высокой оценки. </color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||<分支>2</分支>:Это слишком мягко сказано, учитывая масштабы разрушений в Белграде и потери его жителей. +Я никогда не буду наживаться на их страданиях.
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||<分支>2</分支>:<color=#00CCFF>Неплохо, совсем неплохо. В наши дни мало кто бывает таким же сентиментальным, как ты.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||<分支>2</分支>:<color=#00CCFF>Ты можешь считать меня бесчувственным, и в этом ты не ошибешься. Я слишком многое видел в молодости, поэтому к «страданиям» у меня уже сложилось довольно безразличное отношение.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||<分支>2</分支>:<color=#00CCFF>Разве ты не простишь старику его черствость?</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Ну а теперь хватит болтать. В конце концов, мы оба очень занятые люди.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Хм... Но с чего же мне начать? Пожалуй, начну с ответа Госбеза.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Проще говоря, они были настолько довольны твоим выступлением, что чуть ли не пустились в пляс прямо у меня на глазах.</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||:Правда? Я честно говоря думал, что меня казнят за то, что я не смог предотвратить превращение целого города в зону заражения.
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Если бы Госбез действительно хотел кого-то винить, им пришлось бы сначала расправиться с целой кучей аналитиков и агентов Госбеза, прежде чем дело дошло бы до тебя.</color>
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Я уверен, что они скорее сделают из тебя героя, чем выступят против тебя и привлекут к ответственности.</color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||:А как же бедный посол Рощин?
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Несчастный случай с побочными жертвами. Но главное, что жизнь председательницы была спасена, а отвратительные преступления террористов были полностью зафиксированы и показаны по всему миру, так что ты помог Госбезу отлично выполнить задание.</color>
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Если говорить только о результатах, то всё идёт в нужном нам направлении.</color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||:Проблема в том, что «побочного ущерба» можно было избежать. +Если бы Госбез с самого начала поделился с нами разведданными или хотя бы прислушался к моему предупреждению...
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Ой, ой, достаточно, мой дорогой Командир.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Ты не единственный, кто недоволен Госбезом. У многих, включая меня, есть немало претензий к их методам.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Но ты сам имел с ними дело в прошлом, так что тебе должно быть хорошо известно, что жаловаться бессмысленно, а жаловаться МНЕ — тем более.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Что я могу сделать, слушая твои жалобы? Ты что, хочешь, чтобы я пересказал все твои брюзжания начальcnde?</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Не говоря уже о том, что... у тебя ведь есть свои планы.</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||:...Я понятия не имею, о чем ты говоришь.
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Я знаю, что вы затеяли с Анже.</color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||:Это, наверное, самая смешная шутка, которую я слышал за последнее время. +Я последовал твоим указаниям и поехал в Белград в тщетную погоню за Анже. А теперь ты говоришь, что я с ней связан?
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Командир, может, я и не могу сравниться с тобой в управлении Куклами в бою, но когда дело доходит до анализа разведданных, я тебя значительно превосхожу.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Ты намеренно не упоминал Анже в своих отчетах о связи, но если посмотреть на боевые отчёты за тот период, твои войска действовали в полной синхронизации с оперативной группой DEFY под командованием Анже.</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||:Это всё благодаря Персике и её гениально разработанным нейронным облакам, не так ли? +Тогда ситуация была совершенно хаотичной, поэтому в большинстве сражений инициативу брали на себя Куклы, оснащённые командными модулями. Даже ты знаешь, что я большую часть всей операции провёл в западне в соборе.
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Ах да, кстати. Когда эти Куклы с командными модулями вернулись с DEFY в Грифjн, ты расспрашивал их о том, где находится Анже? Я ясно помню, что поручил тебе найти Анже. Ты же не забыл об этом, Командир?</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||:...Цк.
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Ха-ха-ха, ни один из нас не хочет раскрывать все свои карты. То же самое касается и Госбеза, это очевидно.</color>
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Нет ничего плохого в том, чтобы держать несколько секретов при себе, но если даже такой дилетант, как я, может это понять, то такой хитрый ублюдок, как Зелинский, точно также сможет разгадать твою маленькую уловку.</color>
NPC-Havel(0)<Speaker>Командир</Speaker><scan><通讯框>||:Если так на это посмотреть, то моя отмазка действительно звучит довольно жалко. Но, что бы ты ни подозревал, я действительно не могу рассказать тебе то, чего сам не знаю.
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Отлично, ты умеешь держать язык за зубами, особенно после того, как Анже совершила измену и захватила узел системы «Щука». Ты не разочаровываешь.</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Но тебе не стоит слишком переживать. Поскольку ты добровольно передал ядро узел системы, начальник Госбеза считает Грифон - лояльным.</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||:Почему Госбез так отчаянно хочет заполучить узел системы «Щука»? Что именно они собираются с ним делать?
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Они задаются тем же вопросом, только в их случае речь идет о «вооружённых силах».</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Проанализировав ядро, которое ты привёз, Госбез теперь понимает, что замышляет Военное ведомство... Теперь они направят своих агентов на склады по всему миру и сорвут заговор Военного ведомства.</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||:Вот так просто? Это действительно так просто?
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Это действительно так просто. То, что будет дальше, абсолютно не имеет никакого отношения ни ко мне, ни к тебе, ни к Грифону...</color>
NPC-Havel(1)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>По крайней мере, так и планировала Госбез.</color>
NPC-Havel(1)<Speaker>Командир</Speaker><scan><通讯框>||:Я чувствую, что сейчас будет «но».
NPC-Havel(0)<Speaker>Хавьер</Speaker><scan><通讯框>||:<color=#00CCFF>Ха-ха, именно... НО! Наша работа ещё не закончена. Твой следующий пункт назначения — подводная база в Палдиски, Эстония.</color>
