()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>202</BIN><黑屏2><BGM>BGM_Room</BGM>:Несколько минут назад. +В поезде.
NPC-Kalin(0)<Speaker>Калина</Speaker><scan><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>Ах, мисс 45-я. Разве ты не должна быть в командном центре?</color>
NPC-Kalin(0)<scan><通讯框>;UMP45Mod(0)<Speaker>UMP45</Speaker>||:Мы будем там через несколько секунд. Нам просто нужно закончить это техническое обслуживание. +Как только я здесь покончу, переключу цепь на ремонтный отсек А23. Вашим Куклам Грифона там не помешает дополнительная помощь, верно?
NPC-Kalin(1)<Speaker>Калина</Speaker><scan><通讯框>;UMP45Mod(0)||:<color=#00CCFF>Спасибо. Извини, что пришлось одолжить у вас оборудование.</color>
NPC-Kalin(0)<scan><通讯框>;UMP45Mod(0)<Speaker>UMP45</Speaker>||:Ничего страшного, мы возьмем за это плату.
NPC-Kalin(5)<Speaker>Калина</Speaker><scan><通讯框>;UMP45Mod(0)||:<color=#00CCFF>Ахахахах...</color>
NPC-Kalin(0)<Speaker>Калина</Speaker><scan><通讯框>;UMP45Mod(0)||:<color=#00CCFF>Хорошо, тогда можно попросить тебя ещё об одной услуге?</color>
NPC-Kalin(0)<scan><通讯框>;UMP45Mod(0)<Speaker>UMP45</Speaker>||:Что такое?
NPC-Kalin(0)<Speaker>Калина</Speaker><scan><通讯框>;UMP45Mod(0)||:<color=#00CCFF>Мы только что получили проблемный зашифрованный файл. Полагаю, Анже наконец-то удалось отправить нам информацию.</color>
NPC-Kalin(0)<scan><通讯框>;UMP45Mod(0)<Speaker>UMP45</Speaker>||:Она наконец-то связалась с тобой? +Но почему она просто не позвонила тебе?
NPC-Kalin(4)<Speaker>Калина</Speaker><scan><通讯框>;UMP45Mod(0)||:<color=#00CCFF>Это нас тоже беспокоит...</color>
NPC-Kalin(4)<scan><通讯框>;UMP45Mod(0)<Speaker>UMP45</Speaker>||:...Если она не может связаться по прямой линии, то, возможно, сейчас она находится в опасности.
NPC-Kalin(4)<Speaker>Калина</Speaker><scan><通讯框>;UMP45Mod(0)||:<color=#00CCFF>Уже само по себе было достаточно странно, что она не связалась с нами в оговоренное время.</color> +<color=#00CCFF>К тому же файл, который мы получили, полностью искажён из-за каких-то помех...</color>
NPC-Kalin(4)<scan><通讯框>;UMP45Mod(0)<Speaker>UMP45</Speaker>||:Итак, данные повреждены, и ты хочешь, чтобы мы их восстановили?
NPC-Kalin(4)<Speaker>Калина</Speaker><scan><通讯框>;UMP45Mod(0)||:<color=#00CCFF>Извини, я сейчас создаю голографическую карту с помощью главного компьютера, пока M4 и RO заняты проведением боевых симуляций.</color>
