()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>46</BIN><黑屏2><BGM>BGM_Truth</BGM>:In the command center.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Что такое ?
AR15Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:Мы только что получили отчеты от других эшелонов. Похоже, наши разведчики обнаружили неизвестное подразделение, излучающее очень сильные помехи — возможно, это и есть источник сигнала, инициировавший принудительное соединение.
AR15Mod(0)<Speaker>ST AR-15</Speaker>;M4A1Mod(0)||:Наконец-то босс вступает в бой?
AR15Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:Но этот источник сигнала ни на одну из наших Кукол не нападал. Он просто... исчез... Я не понимаю, чего хочет добиться этот аппарат.
AR15Mod(0)<Speaker>ST AR-15</Speaker>;M4A1Mod(0)||<黑屏1>0,5</黑屏1>:Похоже, у тех помех, что были только что, тоже не было какой-то конкретной цели, и они просто внезапно исчезли... Мне это до сих пор непонятно.
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏2>0,5</黑屏2><BGM>BGM_Truth</BGM>:(Источник сигнала? Может, это тот самый «Изомер»?) +(ОГАС, ты говорила, что один из источников сигнала имеет право доступа ко всему городу. А у этого устройства есть разрешения на проход через карантинную зону?)
M4A1Mod(0)<Speaker>Ясный голос</Speaker>||:<color=#00CCFF>Да, у этого источника сигнала есть бесчисленное количество прямых подключений. По-моему, одно из них ведет к карантинной стене.</color>+<color=#00CCFF>Однако я также обнаруживаю множество камер наблюдения, следящих за этим источником сигнала. Похоже, настоящий организатор не доверяет ему полностью.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:(За ней следят? Это значит, что за нами тоже следят?!)
M4A1Mod(0)<Speaker>Ясный голос</Speaker>||:<color=#00CCFF>Всё верно. До твоего прихода я улавливала лишь небольшое количество запросов на соединение, и я предполагала, что это дело рук этого Изомера.</color>+<color=#00CCFF>А после разрушения электростанции появилась массивная волна хаотичных соединений, что заставляет меня думать, что все остальные соединения, кроме Изомера, всё это время находились под чьим-то контролем.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:(Что это значит?)
