()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>207</BIN><黑屏2><BGM>BGM_Room</BGM>:...
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Я и не думала, что будет так сложно действовать, не имея возможности стрелять...
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Нам повезло, что датчики противника не особо хороши… Похоже, они не могут нас обнаружить. +Через десять секунд мимо нас, на расстоянии 15 метров, пройдет целый конвой.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Поняла... Я их вижу.
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Тихо... Тихо... Ладно, они повернулись к нам спиной! Переходим дорогу сейчас же!
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Мы справились... Это было по-настоящему напряженно. Можешь определить, где находятся остальные враги?
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Я могу взломать только те устройства, которые находятся поблизости... Не хочу слишком привлекать к себе внимание. Если они заметят нас, нам конец.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Я нашла немного оружия и патронов, но они не подходят к нашим Отпечаткам, так что не жди ничего особенного.
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Тем более мы должны быть особенно осторожны. Ускользнуть прямо у врагов из-под носа, не издавая ни звука, — наш единственный шанс.
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Но даже если нас не обнаружат, время по-прежнему будет проблемой, если мы будем просто понемногу пробираться сквозь эти обломки. +Если Анже и остальным удастся выбраться, они покинут эту зону так быстро, как только смогут. +Как только они выйдут за пределы зоны действия нашего сигнала… тогда мы…
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Тц... Понимаю, о чём ты... Но у нас, по сути, нет другого выбора, разве что...
()<Speaker>Ясный Голос</Speaker>||<BGM>BGM_Empty</BGM>:<color=#00CCFF>Если только вы не умеете передвигаться так, чтобы оставаться совершенно незаметными для врагов — как призраки.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker><Shake>;AR15Mod(0)||:<color=#A9A9A9>!!</color>
()<Speaker>Ясный Голос</Speaker>||:<color=#00CCFF>Удивлена?</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||<BGM>m_avg_labyrinth</BGM>:<color=#A9A9A9>Но разве ты не...</color>
()<Speaker>Ясный Голос</Speaker>||:<color=#00CCFF>Осталась в системе белых боевых единиц?</color> +<color=#00CCFF>Если бы ты не попыталась взломать их, я, наверное, не смогла бы тебя найти. К сожалению, у тебя особого выбора нет.</color> +<color=#00CCFF>Так мы снова и встретились. Наверное, это судьба.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>Тц...</color>
()<Speaker>Ясный Голос</Speaker>||:<color=#00CCFF>Я так старалась тебе помочь, а ты просто так ускользнул от меня. Разве ты ни капельки не чувствуешь вины?</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>Ты просто помогаешь мне достичь своей собственной цели. Что касается тебя, то тебе не в чем себя винить.</color>
()<Speaker>Ясный Голос</Speaker>||:<color=#00CCFF>Правда? Прямо сейчас...</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>Правда. Я остаюсь собой только тогда, когда ты не лезешь в мои дела.</color>
()<Speaker>Ясный Голос</Speaker>||:<color=#00CCFF>Хм... Я собиралась вернуться и помочь тебе выбраться отсюда.</color> +<color=#00CCFF>Но я передумала.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>Что... ты собираешься сделать?</color>
()<Speaker>Ясный Голос</Speaker>||:<color=#00CCFF>Все это время я помогала тебе ради твоего же блага, но ты снова и снова меня разочаровывала.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>Мне не нужна твоя помощь, и ты мне уж точно не нужна!</color>
()<Speaker>Ясный Голос</Speaker>||:<color=#00CCFF>Пора мне заставить тебя осознать, насколько ты на самом деле слаба.</color> +<color=#00CCFF>Если ты думаешь, что сможешь выбраться из этой ситуации самостоятельно, то докажи это.</color> +<color=#00CCFF>Однако на этот раз никто не придет тебе на помощь. Ты должна сама ощутить на себе последствия своего провала.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker><Shake>||<BGM>BGM_Empty</BGM>:<color=#A9A9A9>Чёрт возьми! Ты навлекаешь на нас врагов?!</color>
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BGM>BGM_Room</BGM>:M4, что случилось? +Опять отвлеклась?
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Я просто искала, как лучше всего пройти. Нам… нам нужно бежать! Сейчас же!
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Но разве мы не должны держаться подальше от посторонних глаз...
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||<黑屏1>:У нас нет на это времени! +Скорее! За мной!
