()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>159</BIN><黑屏2><BGM>BGM_Truth</BGM>:...На улицах.
()<Speaker></Speaker>||:Группа Грифона движется по улицам в аккуратном строю. +Помимо заражённых, которые даже не подозревают о своей трагической судьбе, поле битвы усеяно изуродованными телами. +RO635 уничтожает ещё одну группу ЭЛИД, а потом вдруг замечает какую-то деталь.
RO635(2)<Speaker>RO635</Speaker>||:<color=#A9A9A9>(Идентификатор синего сигнала...)</color> +<color=#A9A9A9>(Кукла Грифона, о которой ничего не известно?)</color>
()<Speaker></Speaker>||:RO635 жестом приказывает напарнице молчать и держаться поближе, а затем осторожно подходит к куче обломков. За металлической панелью, испещрённой пулевыми отверстиями, она обнаруживает потрясённую Куклу, которая прижимает руки к груди и неконтролируемо дрожит. Перед ней лежат останки заражённого, разорванного на куски до неузнаваемости.
RO635(2)<Speaker>RO635</Speaker>||:Ты... в порядке?
()<Speaker></Speaker>||:Седовласая Кукла не отвечает.
RO635(2)<Speaker>RO635</Speaker>||:Ты кукла Грифона? +Ты из той группы наблюдения, с которой мы потеряли связь...? У нас появились новые участники этой операции... Ты же HS2000, верно? Я читала твое досье.
HS2000(1)<Speaker></Speaker>||:Девушка поднимает голову, и на её лице отражаются страх... и стыд.
HS2000(1)<Speaker>HS2000</Speaker>||:Прости... Мне... мне так страшно... +Он... Тот человек...
RO635(2)<Speaker>RO635</Speaker>;HS2000(1)||:...Где твои товарищи по команде?
RO635(2);HS2000(1)<Speaker>HS2000</Speaker>||:Они... для меня... Я... прости... Я слишком испугалась... +Я не знала, как реагировать на ситуацию... У меня в голове полная пустота... Я не смогла пошевелиться...
RO635(2)<Speaker>RO635</Speaker>;HS2000(1)||:Успокойся. Посмотри на меня.
RO635(2);HS2000(1)<Speaker>HS2000</Speaker>||:Если бы я умела нормально сражаться, мои товарищи по команде не оказались бы... +Но... я всего лишь Медицинская Кукла...
RO635(2)<Speaker>RO635</Speaker>;HS2000(1)||:Во время своей первой миссии я не видела столько трупов — мне повезло гораздо больше, чем тебе. +Именно поэтому ты, чья первая миссия — отражать атаки ЭЛИДов на поле боя, гораздо смелее.
RO635(2);HS2000(1)<Speaker>HS2000</Speaker>||:Но... я...
RO635(2)<Speaker>RO635</Speaker>;HS2000(1)||:Тебе приходится сражаться с врагами, с которыми тебе не следовало сталкиваться — уже одно это достойно уважения. +Так что хватит винить себя. Сейчас главное — выжить.
RO635(2);HS2000(1)<Speaker></Speaker>||:HS2000 поднимает взгляд. Преодолев первоначальную панику, RO635 теперь видит в её глазах отблеск удивления и благодарности.
RO635(2)<Speaker>RO635</Speaker>;HS2000(1)||:Наверное, ты же не хочешь вдруг очутиться на базе в совершенно новом теле, не помня, что было раньше, правда?
RO635(2);HS2000(1)<Speaker>HS2000</Speaker>||:Я... не хочу этого...
RO635(2)||:RO635 оглядывается по сторонам и осторожно похлопывает HS2000 по плечу.
RO635(2)<Speaker>RO635</Speaker>||:Тогда постарайся не попасть под огонь. Просто выживи пока, ладно? +Теперь, когда ты снова присоединилась к нашим основным силам, давай вместе постараемся вернуться домой без единой царапины.
()<Speaker></Speaker>||:В глазах HS2000 мелькнул неуверенный блеск, и она наконец кивнула RO635. +Она неуверенно поднялась на ноги и поспешила к группе Кукол Грифона.
()<Speaker></Speaker>||:RO635 встает и уходит, убедившись, что Кукла пришла в себя.
RO635(3)<Speaker>RO635</Speaker>||<黑屏1>:Если бы я могла это предотвратить, я бы ни за что не позволила этим девочкам пережить нечто столь жестокое.
