()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>86</BIN><黑屏2><BGM>BGM_Battle</BGM>:...Пять минут спустя.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Фух... С ЭЛИДами справиться довольно легко. Они просто немного... отвратительны. +Но наши товарищи сзади начинают терять позиции. Враги наступают...
RO635(4)<Speaker>RO635</Speaker>||:Я просто рада, что ты прикончила того, кто был похож на Нито...
NPC-Nimogen(0)<Speaker>Нимоген</Speaker>||:Ты действительно думаешь, что меня так легко убить?
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<震屏>:Ого! +Ты меня до смерти напугала! +Как ты вообще остался в живых? Разве я тебя не разнесла на куски?!
NPC-Nimogen(0)<Speaker>Нимоген</Speaker>||<>:Я бы вас всех тут же уничтожила, но чтобы порадовать Отца, мне придётся подождать, пока я не закончу с более важными делами.
()<Speaker></Speaker>||<闪屏><duration>5</duration></闪屏><BIN>9</BIN><黑屏1>:После этого в грузовик забросили какой-то предмет. Дым быстро распространился по всему салону.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<BIN>86</BIN><黑屏2>:Кашель, кашель, кашель... Это дымовая граната! +RO, ты снова в грузовике?
RO635(4)<Speaker>RO635</Speaker>||<震屏>:...! +Мадам! Чёрт, Председательница пропала!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Они просто не отпускают нас!
()<Speaker></Speaker>||:Одетая в чёрное, Нимоген гордо стоит в конце дороги, словно ждёт, когда её заметят. +Она смотрит в сторону, куда полетела дымовая граната, с холодной и садистской улыбкой на лице.
NPC-Nimogen(0)<Speaker>Нимоген</Speaker>||:Хеехеехее, наконец-то можно начинать, Меркьюроуз. Мы заставили Отца ждать слишком долго.
()<Speaker></Speaker>||:Затем она исчезает из поля зрения Кукол Грифона вместе с потерявшей сознание Председательницей.
RO635(5)<Speaker>RO635</Speaker>||<黑屏1>:SOP-II, мы должны вернуть председательницу! +Независимо от того, чего это будет стоить! Надо торопиться!
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><BGM>BGM_Empty</BGM>:...Тем временем. +В офисе Управления Государственной Безопасности.
()<Speaker></Speaker>||<BGM>BGM_Room</BGM>:Звонок—
()<Speaker></Speaker>||:Зелинский сидит, выпрямившись, посреди своего не особо освещённого кабинета и пристально смотрит на телефон, из которого доносится неприятный звонок. Он глубоко хмурится и с тревогой ждёт, когда же ему придётся ответить на этот звонок. В конце концов, очевидно, что этот звонок не принесёт никаких хороших новостей.
()<Speaker></Speaker>||:Клик.
()<Speaker></Speaker>||:Скорее всего, связь прервалась бы ещё через две секунды, но Зелинский всё же решает ответить. +На другом конце провода раздаётся голос, который Зелинский считает абсолютно отвратительным.
神秘男子()<Speaker>Таинственный человек</Speaker>||:<color=#00CCFF>Почему ты так долго не отвечал на звонок? Я уже подумал, что на Госбез напала какая-то новая тайная группировка.</color> +<color=#00CCFF>Рад, что это была всего лишь моя паранойя.</color>
NPC-Zielinski(0)<Speaker>Зелинский</Speaker>||:...Это не смешно. +Просто скажи. Чего ты хочешь?
NPC-Zielinski(0)<Speaker>Таинственный человек</Speaker>||:<color=#00CCFF>Я только что заполучил отличный козырь...</color> +<color=#00CCFF>Твой гость сейчас наслаждается моим гостеприимством.</color>
NPC-Zielinski(0)<Speaker>Зелинский</Speaker>||:...
NPC-Zielinski(0)<Speaker>Таинственный человек</Speaker>||:<color=#00CCFF>Если хочешь, чтобы она осталась жива, дай мне доступ к Базе 22.</color>
NPC-Zielinski(0)<Speaker>Зелинский</Speaker>||:Я не понимаю, о чём ты говоришь.
NPC-Zielinski(0)<Speaker>Таинственный человек</Speaker>||:<color=#00CCFF>Она же такая важная политическая фигура... Неужели ничего страшного, если она умрёт?</color> +<color=#00CCFF>Люди такие хрупкие, когда оказываются во власти этого оружия⁠—</color>
NPC-Zielinski(0)<Speaker>Зелинский</Speaker>||:(Перебивает) Госбез не ведет переговоров с террористами.
NPC-Zielinski(0)<Speaker>Таинственный человек</Speaker>||:<color=#00CCFF>Oh?</color> +<color=#00CCFF>Ха, понятно. Значит, тебе на самом деле было всё равно, жива эта женщина или мертва.</color> +<color=#00CCFF>А это значит, что для тебя дело не в этом... Хм, понятно. У тебя есть какая-то другая цель, не так ли, мистер Шеф?</color>
NPC-Zielinski(0)<Speaker>Зелинский</Speaker>||:...Как я уже сказал, я понятия не имею, о чём ты вообще говоришь. Хватит нести чушь.
()<Speaker></Speaker>||:Начальник Госбеза взволнованно наклонился вперёд. Он с трудом сдерживает желание ударить себя сжатым левым кулаком по бедру и выпаливает резкое отрицание. +Напряжённая тишина, висящая в воздухе, не даёт ему покоя. Он горячо желает, чтобы этот загадочный человек просто что-нибудь сказал, но... +Он также понимает, что из его уст не выйдет ничего хорошего.
神秘男子()<Speaker>Таинственный человек</Speaker>||:<color=#00CCFF>Я точно знаю, чего ты хочешь. И я точно знаю, чего хочет Госбез.</color>
NPC-Zielinski(0)<Speaker>Зелинский</Speaker>||:...
NPC-Zielinski(0)<Speaker>Таинственный человек</Speaker>||:<color=#00CCFF>Тебе будет проще, если ты просто оставишь некоторые вопросы нам, не так ли?</color>
NPC-Zielinski(0)<Speaker>Зелинский</Speaker>||:Кто... ты собственно такой?
NPC-Zielinski(0)<Speaker>Таинственный человек</Speaker>||:<color=#00CCFF>Я? Ха, наверняка ты можешь догадаться?</color> +<color=#00CCFF>Я пережил гораздо больше, чем ты, Шеф.</color> +<color=#00CCFF>Мои связи и разведывательная сеть простираются даже туда, куда не дотягивается Госбез.</color> +<color=#00CCFF>Я знаю, что ты пытаешься отследить моё местонахождение. Советую тебе не тратить на это силы.</color> +<color=#00CCFF>Ты и за десять лет не найдешь ни единой зацепки, так что давай не будем тратить время друг друга. Просто дай мне код доступа к Базе 22. Председательница будет твоей, и ты сможешь присвоить себе все лавры. Да что там, ты даже получишь координаты остальных 13 баз.</color>
NPC-Zielinski(0)<Speaker></Speaker>||:Зелинский онемел. Стиснув зубы, он уставился в одну точку и лихорадочно прочесывал память в поисках какой-нибудь мелочи из того периода, которую он мог забыть.
NPC-Zielinski(0)<Speaker>Зелинский</Speaker>||:Как я могу быть уверен, что могу тебе доверять?
NPC-Zielinski(0)<Speaker>Таинственный человек</Speaker>||:<color=#00CCFF>Потому что у тебя нет другого выбора. Либо мы оба останемся с пустыми руками, либо можем пока что поработать вместе. Ха-ха-ха, точно, временное партнерство.</color>
()<Speaker></Speaker>||:Зелинский становится ещё более нервным. Даже сквозь цифровые помехи он слышит, как голос таинственного мужчины внезапно стал холоднее.
神秘男子()<Speaker>Таинственный человек</Speaker>||<黑屏1>:<color=#00CCFF>Этот разговор уже затянулся, Шеф Зелинский.</color> +<color=#00CCFF>Похоже, единственное, чему время так и не смогло меня научить, — это терпению...</color> +<color=#00CCFF>Так что отвечай поскорее. Это не предложение...</color> +<color=#00CCFF>А приказ.</color>
