()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><黑屏1><BGM>BGM_Wake</BGM>:... +......
()<Speaker></Speaker>||<BIN>159</BIN><黑屏2>:Рядом с командным центром.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:...Вот, в общем-то, и всё.
RO635(3)<Speaker>RO635</Speaker>||:Значит, AR-15 всё это время знала об этом?
()<Speaker></Speaker>||:В стороне стоит ST AR-15 и кивает головой.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Я... я всё ещё не до конца понимаю... Так что, теперь M4 будет две?
RO635(3)<Speaker>RO635</Speaker>||:Нет, всё не так просто...
RO635(0)<Speaker>RO635</Speaker>||:Проще говоря, внутри нейронного облака M4 есть ещё одно нейронное облако. Если это так… то теперь всё становится понятно.
RO635(0);M4A1Mod(3)<Speaker>M4A1</Speaker>||:Извините...
RO635(0)<Speaker>RO635</Speaker>;M4A1Mod(3)||:Но почему ты нам не сказала? Было бы лучше, если бы ты рассказала нам, что у тебя есть эта информация и что ты обратилась за помощью к ОГАС, не так ли? Зачем всё держать в секрете?
RO635(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:Потому что я думала, что это может представлять для тебя угрозу... Я понятия не имею, что такое ОГАС, я даже не знаю, кто я такая...
RO635(3)<Speaker>RO635</Speaker>;M4A1Mod(0)||:Но нас создали, чтобы защищать тебя. Даже если возникнет угроза, именно мы должны её нейтрализовать...
M4A1Mod(3)<Speaker>M4A1</Speaker>||:Но что, если я превращусь в кого-то другого?!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker><Shake>||:Я, честно говоря, не совсем понимаю, о чём ты говоришь, но M4 — это M4! О чём именно ты беспокоишься?
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Ладно, хватит. +416-я, тебе действительно стоит взять пример с Команды AR. Посмотри, какое безграничное доверие они испытывают друг к другу.
HK416Mod(0)<Speaker>416</Speaker>||:А при чём тут я?!
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:На самом деле всё не так плохо, как тебе кажется, M4. Все примут правду. +Но сейчас наша главная задача — выбраться из этой передряги, и это можешь сделать только ты. Полагаю, именно это и имеет в виду лидер 404?
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Значит, в Команде AR всё-таки осталась Кукла, у которой есть хоть капля здравого смысла. Раз тебя выбрала ОГАС, М4, ты теперь отвечаешь за то, чтобы защитить нас всех от тех, кто стоит за ОГАС.
UMP45Mod(0);M4A1Mod(0)<Speaker>M4A1</Speaker>||:Кто стоит за ОГАС.…?
