()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>86</BIN><黑屏2><BGM>BGM_Danger</BGM>:...На улицах.
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:RO635 пытается выстрелить в Нимоген сбоку, но та с легкостью уклоняется от атаки. +Внезапно вытянув щупальца, Нимоген хватает RO635 за лодыжки и безжалостно швыряет её с высоты двух этажей на землю. Неуспев подняться на ноги, RO635 видит, что Нимоген уже стоит прямо перед ней, прижав ногу к её груди и лукаво ухмыляется.
RO635(4)<Speaker>RO635</Speaker>||:...Убери от меня свою вонючую ногу.
NPC-Nimogen(0)<Speaker>Нимоген</Speaker>||:На самом деле это было не так уж и круто, но, наверное, ты уже сделала всё, на что способна, как неудачница. +Хи-хи-хи, так вот на что способен Грифон!
()<Speaker></Speaker>||<SE1>Explode</SE1>:БАБАХ!
()<Speaker></Speaker>||:Внезапно прямо там, где секунду назад стояла Нимоген, взрывается граната. +RO635 вылезает из-под дымовой завесы и бросается за ближайшее укрытие.
RO635(5)<Speaker>RO635</Speaker>||<震屏>:Ты что, хочешь меня разнести на куски, SOP-II?!
()<Speaker></Speaker>||:Эта граната как раз вовремя помешала Нимоген покончить с RO635. +В дымовой завесе фигура с молниеносной скоростью мелькает за укрытие. +С такой же жуткой улыбкой она пристально смотрит на девушку в чёрном, стоящую всего в нескольких метрах от неё.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Хе-хе, моя вина. Я не специально... +В любом случае, я здесь!
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM>:SOP-II улыбнулась, глядя на укрытие, за которым прячется RO635, и зарядила оружие ещё одной гранатой.
NPC-Nimogen(0)<Speaker>Нимоген</Speaker>||<BGM>BGM_Battle</BGM>:Ого, похоже, наконец-то началось самое интересное. Хи-хи-хи, вот это уже гораздо лучше~
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Хм? Все Нито в последнее время такие напыщенные? Ты по-прежнему слаба, но говорить научилась~
NPC-Nimogen(0)<Speaker>Нимоген</Speaker>||:Я же говорила, что я не Ни⁠—
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Нито — это Нито, так же как мусор — это мусор. Даже если ты кто-то другая, пока ты относишься к категории мусора, мне всё равно.
NPC-Nimogen(0)<Speaker>Нимоген</Speaker>||:Хеехее, вот я и начинаю злиться. Последний, кто меня разозлил, превратился в кровавую кашу. К сожалению, Куклы могут превратиться разве что в кучу металлолома.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Хм, видимо, ты всё ещё несешь херь. Если бы ты могла меня напугать, меня бы не звали SOP-II!
NPC-Nimogen(0)<Speaker>Нимоген</Speaker>||:Похоже, у тебя до сих пор есть некоторые заблуждения по поводу меня. Мне просто необходимо их развеять… прежде чем я отрублю тебе голову, хеехеехее~
RO635(4)<Speaker>RO635</Speaker>||:SOP-II... нам надо как-то вытащить Председательницу отсюда! Нельзя тратить на неё слишком много времени! +Командир сказал, что они почти расчистили путь к собору!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Тогда придется сыграть по-честному! Проще простого~
NPC-Nimogen(0)<Speaker>Нимоген</Speaker>||:Хеехеехее... Вот это настрой! Ты мне нравишься~ +А теперь покажи, на что ты способна!
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:Бенг-бенг! Бенг-бенг-бенг!
()<Speaker></Speaker>||:Они обмениваются выстрелами. +Огневой мощи SOP-II не хватает, чтобы окончательно отбить атаку девушки в чёрном, но этого достаточно, чтобы замедлить её. +Воспользовавшись моментом, RO635 отступает вместе с Председательницей.
RO635(4)<Speaker>RO635</Speaker>||:Это RO635! Я встретилась с группой поддержки и сейчас пытаюсь уйти от преследования врага!
NPC-KalinReporter(0)<Speaker>Калина</Speaker><scan><通讯框>;RO635(4)||:<color=#00CCFF>Принято!</color> +<color=#00CCFF>Просто беги прямо к собору! Наша штурмовая группа обеспечила проход, но враг не перестает атаковать, так что мы не сможем удержать их долго!</color>
RO635(4)<Speaker>RO635</Speaker>||:Поняла! Мы сразу же побежим!
()<Speaker></Speaker>||<SE1>Explode</SE1>:БАБАХ!
()<Speaker></Speaker>||:Среди звуков артиллерии смех звучит ещё более зловеще. +Отбивая атаки Нимоген, SOP-II не хочет задерживаться в бою. Она то и дело создаёт ловушки, чтобы увеличить расстояние между собой и Нимоген.
RO635(2)<Speaker>RO635</Speaker>||:Отлично сработано, SOP-II!
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Хехе, вот это да! Это гораздо интереснее, чем сражаться с пушечным мясом, как раньше!
NPC-Nimogen(0)<Speaker>Нимоген</Speaker>||:Это всё, что нужно, чтобы произвести на тебя впечатление?
RO635(5)<Speaker>RO635</Speaker>||:SOP-II, берегись!
()<Speaker></Speaker>||:Нимоген внезапно бросается вперед и обхватывает щупальцем шею SOP-II. Как только она думает, что победа уже в кармане, SOP-II срывает щупальце, притягивает Нимоген к себе, а затем наносит мощный удар ногой, от которого та отлетает в сторону.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Гейм овер~
()<Speaker></Speaker>||:SOP-II бросает гранату в том же направлении. Она падает на землю одновременно с Нимоген. Стоя спиной к мощному взрыву вдали, SOP-II вытаскивает RO из-за укрытия.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Извини, RO. Я не следовала твоему приказу и тянуть время.
RO635(2)<Speaker>RO635</Speaker>||<黑屏1>:Ты только и умеешь, что хвастаться, да... Ладно, неважно, давай поспешим и присоединимся к Командиру!
()<Speaker></Speaker>||<BIN>136</BIN><黑屏2><BGM>BGM_Empty</BGM>:...Возле собора.
()<Speaker></Speaker>||<BGM>BGM_Sneak</BGM>:Под командованием Командира, Куклы уничтожают оставшихся ЭЛИД по периметру и выстраивают линию обороны вокруг собора.
NPC-KalinReporter(0)<Speaker>Калина</Speaker>||:Информация от К неверна! Он сказал, что мы сможем прорваться одним махом! +А мы вообще сможем продержаться так долго под таким сильным обстрелом?! +Да и ЭЛИД в этом районе просто слишком много!
Lewis(0)<Speaker>Льюис</Speaker>||:(Давится) Все эти жидкости просто отвратительны! +Совершенно невыносимо! Даже я больше не могу это выносить!
P22(0)<Speaker>P22</Speaker>||<黑屏1>:Потерпи еще чуть-чуть. Охрана ещё не добралась сюда. Нам нужно продержаться, пока они не приведут VIP-персону и не перегруппируются с нами... О, вот и они!
()<Speaker></Speaker>||<BIN>86</BIN><黑屏2>:...Десять минут спустя. +Где-то на поле сражения.
NPC-Nimogen(0)<Speaker>Нимоген</Speaker>||<黑屏1>:Хеехеехее... Неважно... +Ничего страшного, не переживай. Пусть крысы немного повеселятся. В конце концов... +Я всё равно со временем превращу вас всех в пепел. +Именно... Я сожгу вас дотла! +Хеехее... Непростительно... Совершенно непростительно! +Я разорву тебя на куски! Подожди... Просто подожди!
()<Speaker></Speaker>||<BIN>136</BIN><黑屏2>:...15 минут спустя. +У собора.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Это Командир!
RO635(2)<Speaker>RO635</Speaker>||:Ты вернулся!
()<Speaker>Командир</Speaker>||:Ага, на улице пока безопасно, да и ГОгПы тоже развернуты в безопасных секторах.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Командир, миссия выполнена! Мы с RO доставили VIP-персону!
RO635(3)<Speaker>RO635</Speaker>;M4 SOPMOD IIMod(0)||:(Эй, не надо выпрашивать комплименты, как только увидишь Командира...)
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Хехе, но мы заслуживаем похвалы за то, что выполнили задание!
()<Speaker>Командир</Speaker>||:Извини, но у тебя не будет времени на отдых. +Там всё ещё осталось довольно много отрядов Парадеуса и заражённых существ... Наше положение не особо улучшилось.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Без проблем! Мне будет норм, пока есть враги, которых можно убивать! +Мы даже наткнулись на командира тех белых штук! Она пыталась увести VIP-персону от RO, но я с ней разобралась одним «БУМ»! +Жаль только, что не удалось оторвать от нее кусочек на память...
NPC-KalinReporter(0)<Speaker>Калина</Speaker>;M4 SOPMOD IIMod(0)||:...Слава богу, ты не притащила какую-нибудь странную часть тела... +Думаю, моё сердце бы этого не выдержало...
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Тем не менее, эта «девушка» была действительно странной. Она выглядела как Нито, но настаивала, что это не так. +И как она улыбалась… Как бы это сказать…? У меня аж мурашки по коже побежали!
()<Speaker></Speaker>||:От этих слов у меня сердце замерло. +Неужели SOP-II почувствовалf то же, что и я...? Я так и знал — это была Нито, которую я видел... Что она там замышляет втайне...? +В моей голове постепенно нарастает странное предчувствие.
()<Speaker>Командир</Speaker>||:SOP-II, ты действительно уничтожила этого Нито?
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Она называла себя Нимоген и утверждала, что отличается от остальных Нито. Она была просто странная... Я бросила в неё гранату, но не знаю, убила ли она её. Может, мне вернуться и поискать её тело?
()<Speaker>Командир</Speaker>||:Нет, спасибо, SOP-II. Ты уже много сделала.
()<Speaker></Speaker>||:Пугающая улыбка... Попытка похищения важной персоны... Нападение в конференц-зале и на наших Кукол... Все это, наверное, как-то связано, но у меня просто нет времени об этом думать. И так достаточно сложно просто удержать позиции здесь, в соборе.
NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:Ты в порядке?
()<Speaker></Speaker>||:Этот мягкий вопрос возвращает мои мысли в насыщенное настоящее.
NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:Всё... в порядке? +Ты выглядишь очень мрачно.
NPC-Ambassador(0)<Speaker>Командир</Speaker>||:Я в порядке... Извините.
NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:Хм... Я знаю, что не стоит тебя беспокоить, но... +В соборе укрылись беженцы и дети. Можно спросить, когда прибудут твои подкрепления?
NPC-Ambassador(0)<Speaker>Командир</Speaker>||:Подкрепление... прибудет не скоро. +Пожалуйста, оставайся внутри здания. На улице слишком опасно. +Калина, защищай Председательницу!
NPC-KalinReporter(0)<Speaker>Калина</Speaker>;NPC-Ambassador(0)||:Хорошо, мадам, пожалуйста, пройдите со мной внутрь собора. Здесь очень опасно.
NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:Хорошо...
NPC-Ambassador(0)<Speaker></Speaker>||:Председательница Ульрих направляется к собору, но на полпути поворачивает назад.
NPC-Ambassador(0)<Speaker>Председатель Ульрих</Speaker>||:Командир, ты, похоже, не местный, да и на агента Бюро государственной безопасности тоже не похож. Кто ты, собственно...
()<Speaker>Командир</Speaker>||:Я всего лишь сотрудник небольшой ЧВК, которая с трудом сводит концы с концами.
