()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BGM>BGM_Sunshine</BGM><黑屏2><SE1>Gunfight</SE1><SE2>MachineGunBurst</SE2>:На фоне грохота выстрелов Меркьюуроуз стоит посреди сцены и звучно поёт, совершенно не обращая внимания на хаос вокруг.
NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>||<SE1>Explode</SE1>:«Через холм и через долину, сквозь пропасть и провал, над росой и облаками, бурей и тьмой!» +«Над расселиной, топью и бездной—»
AR15Mod(0)<Speaker>ST AR-15</Speaker>;NPC-Mercurows(0)||<SE1>Gunkill</SE1>:У меня кончились патроны, АН-94!
AR15Mod(0);AN94(2)<Speaker>АН-94</Speaker>||:У меня ещё осталось немного, подойди поближе!
AR15Mod(5)<Speaker>ST AR-15</Speaker>;AN94(2)||:Подожди, я не вижу, где ты! +Чёрт... Я не могу получить точные координаты... +Наверное, Меркьюуроуз заглушает наши датчики! +Она что, играет со мной...?! +Куда теперь...? Полагаться только на визуальный контакт... так не пойдет...
AR15Mod(5);AN94(2)<Speaker>АН-94</Speaker>||:Осторожно! AR-15, сбоку от тебя!
AR15Mod(1)<Speaker>ST AR-15</Speaker>;AN94(2)||<SE1>Explode</SE1><SE2>Alarm</SE2>:...Уф!
AR15Mod(1);NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>||:Прошу, раскройтесь! «Поднимитесь, врата, и вознеситесь, двери вечные...»
AR15Mod(1)<Speaker>ST AR-15</Speaker>;NPC-Mercurows(0)||:Чёрт, я больше не могу от них уворачиваться!
()<Speaker></Speaker>||<BIN>9</BIN><BGM>BGM_Empty</BGM>:Хлопок. +В театре внезапно воцаряется полная темнота.
？？？()<Speaker>???</Speaker>||<SE1>Heartbeat</SE1>:Для копии ты ужасно многословна.
AR15Mod(1)<Speaker>ST AR-15</Speaker>||<黑屏1>:... +Этот голос...
()<Speaker></Speaker>||<BIN>96</BIN><黑屏2><火花>:Свет снова включается — не только те самые прожекторы, что были раньше, но и все остальные лампы. Весь зал окутывает мягкое сияние. +AR-15 смотрит в сторону, откуда доносится голос — на часть зрительного зала на балконе.
()<Speaker>ST AR-15</Speaker>||<SE1>Heartbeat</SE1>:...Это действительно так...!
铁血人形()<Speaker>Незнакомая Кукла С.Ф.</Speaker>||<BIN>171</BIN><闪屏><duration>5</duration></闪屏>:Ой-ой, это же наши милые маленькие жестяные банки из Грифона! +Смотри, M16. Та, с розовыми волосами, разве не твоя бывшая коллега? +Похоже, у неё появились новые друзья. Как мило—
M16()<Speaker>M16A1</Speaker>||<BGM>bossbattle_loop</BGM>:Атакуем.
铁血人形()<Speaker>Незнакомая Кукла С.Ф.</Speaker>||<黑点1>:Безжалостная, как всегда... Мне это так нравится! +Уничтожь всех этих белых отбросов, ни одного не пощади!
NPC-Mercurows(0)<Speaker>Меркьюуроуз</Speaker>||<BIN>96</BIN><黑点2>:«Ужели погибель постигнет меня? Или я отдана на волю случая?» +«Но силы тьмы уже обвивают меня.» +Защищайтесь! А потом... уничтожьте этих надоедливых дураков!
AN94(0)<Speaker>АН-94</Speaker>;NPC-Mercurows(0)||:Это M16A1. +Они нацелились на Белую фракцию. Это наш шанс. +AR-15, мне удалось привести тебя сюда. +Похоже, Сангвис Ферри устранил помехи, создаваемые Белой фракцией, так что у нас теперь есть доступ к связи. +Я проведу тебе базовый ремонт, и ты сможешь связаться с Анже по защищенному каналу.
AN94(0);AR15Mod(3)<Speaker>ST AR-15</Speaker>||:Спасибо... Я приняла твой запрос на подключение. +<color=#00CCFF>Анже, слышишь меня?</color>
NPC-AngeStreet(0)<Speaker>Анжелия</Speaker><scan><通讯框>;AR15Mod(3)||:<color=#00CCFF>Я тебя слышу. Все готово, AR-15?</color>
NPC-AngeStreet(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:<color=#00CCFF>Извини, Анже, я нашла Узел, но дела обстоят совсем неважно!</color> +<color=#00CCFF>Ситуация быстро выходит из-под контроля. Я отправила тебе наши координаты. Сангвис Ферри вступил в бой с Белой фракцией под командованием М16. Боюсь, нам придётся сражаться с теми, кто останется после этой битвы...</color>
NPC-AngeStreet(0);AR15Mod(0)<Speaker>Меркьюуроуз</Speaker>||:«Ничто не избавит тебя от падения в пропасть. От падения в пропасть ничто не избавит тебя!» +Вы всего лишь призраки, блуждающие во тьме... Никто не сможет меня остановить! +Я одержу победу... и получу то, что заслуживаю!
NPC-AngeStreet(0);AR15Mod(0)<Speaker>Незнакомая Кукла С.Ф.</Speaker>||:Ха-ха-ха! О чём, черт возьми, говорит эта чудаковатая девчонка? Эй, давай поусерднее и просто разнеси её в клочья!
NPC-AngeStreet(0)<Speaker>Анжелия</Speaker>;AR15Mod(0)||:<color=#00CCFF>M16...? Сангвис Ферри...?</color> +<color=#00CCFF>Какая неразбериха. Ладно, у нас тоже дела обстоят не лучшим образом, но мы вышлем тебе подкрепление как можно скорее.</color> +<color=#00CCFF>Держись.</color>
NPC-AngeStreet(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:<color=#00CCFF>Надеюсь, к тому моменту, как ты доберёшься сюда, тебя не будут встречать наши трупы... Мы рассчитываем на тебя!</color> 
M16A1BOSS(0)<Speaker>M16A1</Speaker>;AR15Mod(0)||<黑屏1><关闭火花>:AR-15...АН-94. Меркьюуроуз. M4 здесь нет. +Мне лучше поторопиться... +<color=#A9A9A9>Я должна найти ее раньше, чем «эта вещь»!</color>
