()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>202</BIN><黑屏2><BGM>BGM_Room</BGM>:...В бронированном поезде.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:ГОгП должен был уничтожить все автономные подразделения, которые их преследовали. +Все на борту?
HK416Mod(0)<Speaker>416</Speaker>||:Это было слишком близко, чтобы быть спокойной. Я чуть не опоздала с прыжком.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||:Что? Впрочем, это было не так уж и страшно — всего лишь прыжок с десятиметровой вышки.
HK416Mod(0)<Speaker>416</Speaker>||:Сомневаюсь, что какая-либо другая Кукла, кроме тебя, смогла бы прыгнуть на десять метров одним прыжком.
UMP45Mod(0)<Speaker>UMP45</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:...Хм, по-моему, все на месте. +Пойдем в комнату с оборудованием, чтобы пополнить запас патронов.
()<Speaker></Speaker>||<黑屏2><BGM>m_avg_casual</BGM>:После того как они пополнят запасы боеприпасов...
UMP9Mod(0)<Speaker>UMP9</Speaker>||:Ты вернулась! Спасибо за усердную работу.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Это была действительно тяжелая работа. 404-ым уже бог знает сколько времени не приходилось сражаться с врагами в лоб.
HK416Mod(0)<Speaker>416</Speaker>||:Хватит жаловаться. По крайней мере, нам платят.
G11(0)<Speaker>Gr G11</Speaker>||:Этот дурацкий поезд наконец-то тронулся… Взрывы становились всё ближе и ближе… +Я уже почти решила, что этот поезд станет моим последним пристанищем.
HK416Mod(0)<Speaker>416</Speaker>||:Разве ты не просидела всё это время в поезде? +Ты так рассказываешь, будто там, вместе с нами, тебе пришлось сражаться за свою жизнь!
G11(3)<Speaker>Gr G11</Speaker><Shake>||:Оу, оу, оу, оу... 416-я, перестань щипать меня за щеки! Я очень старалась подбодрить нашу бригаду технического обслуживания!
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Слава богу, тебе удалось починить поезд, иначе нам пришлось бы преодолевать оставшийся путь пешком. +9-я, ты отлично сработала.
UMP9Mod(0)<Speaker></Speaker>||:UMP9 смущённо почесала затылок.
UMP9Mod(0)<Speaker>UMP9</Speaker>||:Ха-ха, это всё благодаря фройляйн Калине и Куклам, которые мне помогли.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Понятно. Но если ты ещё раз затянешь выполнение задачи после установленного срока, я заставлю тебя и Gr G11 поменяться нейронными ядрами во время следующего технического обслуживания.
UMP9Mod(0)<Speaker>UMP9</Speaker>||:Э...!
HK416Mod(0)<Speaker>416</Speaker>||:Это было бы очень интересно. Буду с нетерпением ждать.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Поступило сообщение от Командира. +Поняла. +Командир просит нас собраться в командном центре.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Под словом «мы» ты имеешь в виду ВСЕХ нас?
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Конечно. Командир хочет, чтобы все члены отряда 404 тоже были на месте. Речь идет о предстоящей операции. +Брифинг по миссии начнется через десять минут.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Мы прибудем туда, как только закончим ремонт наших поврежденных болванок.
AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Тогда остальные сначала пойдут со мной.
M4 SOPMOD IIMod(0)<Speaker>M4 SOPMOD II</Speaker>||<黑屏1>:Ладно! Увидимся позже!
