()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>200</BIN><黑屏2><BGM>BGM_Brain</BGM>:...
M4A1Mod(0)<Speaker>M4A1</Speaker>||:...
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Почему ты исчезла?
()<Speaker>ОГАС</Speaker>||:Я пыталась стабилизировать связи и подготовить почву для тебя в твоем поиске истины.
M4A1Mod(0)<Speaker>M4A1</Speaker>||:Я не понимаю. Мне это кажется очень знакомым, но я вижу только чужие воспоминания. +Почему у меня такие же воспоминания? Зачем меня создали? +Мое существование так же бессмысленно, как и у брошенных Изомеров?
()<Speaker>ОГАС</Speaker>||<白屏1>:Нет, ты вовсе не бесполезна, ты особенная. +Она пришла за тобой. +Смотри, это последнее воспоминание в этом отрезке связи. Ты обязательно найдешь то, что ищешь.
NytoIsomer(0)<Speaker>Ошибочный Изомер</Speaker>||<BGM>BGM_Empty</BGM><白屏2>:Я не хочу с тобой сражаться. Что ты выиграешь, убив меня?
M16A1BOSS(0)<Speaker>M16A1</Speaker>||<BGM>BGM_Boss</BGM>:Ты что, забыла, как мы сражались друг с дружкой?
NytoIsomer(0)<Speaker>Ошибочный Изомер</Speaker>||:Я понятия не имею, о чём ты говоришь...
BOSS-12(0)<Speaker>Элиза</Speaker>||:Хватит, М16. +Это всего лишь Изомер Лунасии. +Ее физическое тело и индивидуальное сознание больше не связаны между собой. Тот враг, которого ты знала, уже объединился с коллективным сознанием.
M16A1BOSS(0)<Speaker>M16A1</Speaker>||:Что это значит?
BOSS-12(0)<Speaker>Элиза</Speaker>||:И Луназия, и ОГАС, которую он пытался использовать, — всего лишь грубые подделки. Их создатель хочет, чтобы они поглотили друг друга. +Какая глупая идея. Даже в этом случае ОГАС не станет совершенной. Склеив сломанные лепестки, не получится целого цветка.
NytoIsomer(0)<Speaker>Ошибочный Изомер</Speaker>||:...Ты тоже неисправена? +Сюда попадают только бракованные экземпляры.
BOSS-12(0)<Speaker>Элиза</Speaker>||:Нет, мы не такие, как ты. +Тебя сюда отправили, потому что ты неполноценная. +А я пришла сюда, чтобы СТАТЬ неполноценной.
NytoIsomer(0)<Speaker>Ошибочный Изомер</Speaker>||:Так это ты нас примешь и заберешь домой?
M16A1BOSS(0)<Speaker>M16A1</Speaker>||:...
BOSS-12(0)<Speaker>Элиза</Speaker>||:Я... не могу отвезти тебя домой, потому что это не МОЙ дом. +Но я знаю человека, который сможет это сделать. Тебе не придётся долго ждать. +Тебе просто нужно рассказать ей всё, что ей нужно знать, и тогда она откроет глаза и протянет тебе руку помощи.
NytoIsomer(0)<Speaker>Ошибочный Изомер</Speaker>||:«Она» примет нас… Мы будем ждать… Мы будем ждать её прихода…
BOSS-12(0)<Speaker>Элиза</Speaker>||:Пошли, М16. +Здесь для нас ничего полезного нет.
M16A1BOSS(0)<Speaker>M16A1</Speaker>||:Нет, я должна уничтожить их всех... +Я не могу оставить их M4!
()<Speaker></Speaker>||:М16 направляет оружие на Изомеров. +Но, к её удивлению, руки у неё неконтролируемо дрожат. +Как бы она ни старалась, она не может пошевелить пальцем, чтобы нажать на курок.
()<Speaker></Speaker>||:М16 направляет оружие на Изомеров. +Но, к её удивлению, руки у неё неконтролируемо дрожат. +Как бы она ни старалась, она не может пошевелить пальцем, чтобы нажать на курок.
M16A1BOSS(0)<Speaker>M16A1</Speaker><Shake>||:ОГАС... Почему... почему ты меня останавливаешь...?
BOSS-12(0)<Speaker>Элиза</Speaker>||:Лунасии необходимо знать обо всём этом. +Это договор, который тебе не стоит нарушать. +Ты должна оставаться верной своему долгу. Если нам удастся выполнить то, что мы наметили, то её не придётся приносить в жертву.
M16A1BOSS(0)<Speaker>M16A1</Speaker>||:...
BOSS-12(0)<Speaker>Элиза</Speaker>||:Ты же это знала именно поэтому ты и решила сотрудничать с Сангвис Ферри. Разве это не было твоей целью с самого начала?
M16A1BOSS(0)<Speaker>M16A1</Speaker>||:...Это правда.
BOSS-12(0)<Speaker>Элиза</Speaker>||<黑屏1>:В таком случае, М16, пойдем со мной и уйдем отсюда.
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><BGM>BGM_Empty</BGM>:...
()<Speaker></Speaker>||<黑屏1>:Силуэты М16 и Элизы снова становятся размытыми. +M4A1 приходит в себя и снова оказывается в перевернутом лесу.
M4A1Mod(4)<Speaker>M4A1</Speaker>||<黑屏2><BIN>195</BIN><BGM>BGM_Brain</BGM>:ОГАС, ты это видела?
()<Speaker>ОГАС</Speaker>||:Да...
M4A1Mod(4)<Speaker>M4A1</Speaker>||:Почему ты решила бросить 16-ю?
()<Speaker>ОГАС</Speaker>||:Это была не я. Эта Элиза... помогла мне это понять. +Я всего лишь нейронное сознание, созданное на основе алгоритмов ОГАС. Нейронное сознание, такое как я, развивается в зависимости от своего носителя. +После отделения от вируса Параплюй мы постепенно начали учиться и развиваться... +Я — уникальный ОГАС, принадлежащий только тебе... только Лунасии.
M4A1Mod(4)<Speaker>M4A1</Speaker>||:Вирус Параплюй?
