()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
AR15Mod(0)<Speaker>ST AR-15</Speaker>||<BIN>207</BIN><黑屏2><BGM>BGM_Danger</BGM>:Не кажется ли тебе, что враги идут за нами?! +Они нас заметили? +Но они же в нас не стреляют! Что, черт возьми, происходит?!
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Хватит об этом думать! Они пытаются перекрыть нам путь! +Налево! Поворачивай налево и следуй за мной!
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Что только что произошло?!
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Это сознание! Оно управляет этими врагами! Оно пытается захватить нас!
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Что?! Но разве ты не говорила...
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Да, я думала, что она пропала, но она вернулась!
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Какая же она прилипчивая и живучая. . .!
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Раз уж мы всё равно на виду, я провела полное сканирование их позиций! +Сюда! В этом направлении они ещё не укрепились!
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Мы мчимся прямо к ретранслятору сигнала?!
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Если у тебя есть какие-то лучшие предложения, не стесняйся!
()<Speaker>Ясный голос</Speaker>||:<color=#00CCFF>Это твое решение?</color> +<color=#00CCFF>Бессмысленно метаться туда-сюда?</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>Ты же управляешь этими отрядами, верно?!</color> +<color=#A9A9A9>Я знаю, что ты не осмелишься стрелять в меня!</color>
()<Speaker>Ясный голос</Speaker>||:<color=#00CCFF>Кто знает, может быть, остаться в этой системе — неплохая идея. Возможно, она окажется более лояльной, чем твоё неблагодарное нейронное облако.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>Если тебе там так нравится, желаю тебе всего самого лучшего!</color>
()<Speaker>Ясный голос</Speaker>||:<color=#00CCFF>Но в их системе нет ничего, что хоть что-нибудь, что меня заинтересовало бы.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>Я знаю, что ты сейчас скажешь!</color>
()<Speaker>Ясный голос</Speaker>||:<color=#00CCFF>Тогда просто веди себя как хорошая девочка и хватит этого бреда.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>Если ты думаешь, что сможешь перехватить меня с помощью этих дурацких белых юнитов, то ты меня недооцениваешь!</color>
()<Speaker>Ясный голос</Speaker>||:<color=#00CCFF>Они, наверное, не смогут, но готова поспорить, что Нито сможет.</color>
M4A1Mod(0)<Speaker>M4A1</Speaker>||:<color=#A9A9A9>Нито?!</color>
()<Speaker>Ясный голос</Speaker>||:<color=#00CCFF>Не говори, что я тебя не предупреждала. Я не могу удержать этих Кукол под контролем. Похоже, они ненавидят тебя гораздо сильнее, чем я ожидала.</color>
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:M4, стой! Прямо перед нами появился черный юнит!
M4A1Mod(0)<Speaker>M4A1</Speaker>;AR15Mod(0)||:Тц... Оно достает оружие! Забегай в то здание, быстрее!
M4A1Mod(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Она открыла огонь! M4, вперед!
M4A1Mod(0)<Speaker>M4A1</Speaker><Shake>||<BIN>9</BIN><<黑屏1>:Чёрт... Дело не в том, чтобы сдерживаться... Нам нужно действовать быстро!
()<Speaker>Ясный голос</Speaker>||:<color=#00CCFF>Можешь бежать, можешь прятаться, но в конце концов тебе придётся встретиться со мной лицом к лицу, Луназия.</color> +<color=#00CCFF>Прежде чем мы помиримся, давай сыграем в прятки.</color>
