()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>159</BIN><Night><BGM>BGM_Room</BGM>:Напротив распределительного щитка.
G11(0)<Speaker>Gr G11</Speaker>||:Я даже не заметила, как на улице стемнело, пока была внутри. +Можно уже спать? Я устала...
HK416Mod(0)<Speaker>416</Speaker>;G11(0)||:Зачем тебе спать? Ты же даже не участвовал в работах по сносу. +...Gr G11, убери голову с моей спины!
HK416Mod(0);G11(0)<Speaker>Gr G11</Speaker>||:Не хочу, твое пальто такое мягкое и тёплое. Давай я ещё чуть-чуть прижмусь к нему... + (Мурлычет) Оно такое... Ай!
HK416Mod(0)<Speaker>416</Speaker>;G11(0)||<震屏>:Вставай сейчас же.
HK416Mod(0);G11(2)<Speaker>Gr G11</Speaker>||:Просто говори, не надо меня бить...
UMP9Mod(0)<Speaker>UMP9</Speaker>;G11(2)||:Ты спала, пока лицо не стало плоским, Gr G11. Давай, вставай, у нас есть новое и интересное занятие!
UMP9Mod(0);G11(2)<Speaker>Gr G11</Speaker>||:То, что тебе кажется «весельем», наверняка будет утомительным. Почему бы вам, девчата, просто не «повеселиться» самим...
HK416Mod(0)<Speaker>416</Speaker>;G11(2)||:Я же тебе говорила, ты должна меня слушать. Давай, встань прямо и перестань на меня опираться. +9-я, о чём ты вообще говоришь?
UMP9Mod(0)<Speaker>UMP9</Speaker>;G11(2)||:Я тоже не знаю. +Но тебе не кажется, что у 45-й довольно напряженное выражение лица? +Кто знает, может, нас опять заставят бегать по кругу.
HK416Mod(0)<Speaker>416</Speaker>;G11(2)||:В таком случае я с ней покончу, чтобы облегчить себе жизнь.
HK416Mod(0);G11(3)<Speaker>Gr G11</Speaker><Shake>||:Э...эээээээ?!
UMP9Mod(0)<Speaker>UMP9</Speaker>;G11(3)||:Ха-ха, это единственный момент, когда Gr G11 оживает!
UMP45Mod(0)<Speaker>UMP45</Speaker>;G11(3)||:Возможно, ты права.
UMP45Mod(0);G11(3)<Speaker>Gr G11</Speaker>||:Подожди, подожди-ка... 45-я, ты имеешь в виду, что тебя будут гонять, как в фильмах про зомби, или что-то в этом роде...?
UMP45Mod(0)<Speaker>UMP45</Speaker>;G11(3)||:Хехе.
UMP45Mod(0);G11(3)<Speaker>Gr G11</Speaker>||:...Это ещё хуже! 416-я... не бросай меня... +Вокруг густой туман, ноги затекли, я не могу пошевелиться... (Хнычет)
HK416Mod(0)<Speaker>416</Speaker>;G11(3)||:О каком тумане ты вообще говоришь, и какое отношение он имеет к твоему состоянию? +Почему ты сейчас так драматизируешь? Отпусти мою ногу.
