()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>8</BIN><黑屏2><BGM>BGM_Room</BGM>:...Миссия завершена.
NPC-Kalin(0)<Speaker>Калина</Speaker>||:Командир, судя по сигналам, мы уничтожили последних врагов, что прятались. +Но на их телах мы не нашли никаких новых улик, касающихся «Белой фракции». +Я уже отправила тебе собранные данные.
()<Speaker>Командир</Speaker>||:Что ж... +Похоже, чтобы раскрыть эту тайну, нам придётся рассчитывать на К.
()<Speaker></Speaker>||:...Клик.
NPC-Jason(0)<Speaker>K</Speaker><scan><通讯框>||:<color=#00CCFF>Отлично сработано, Командир.</color> +<color=#00CCFF>Если говорить объективно, то людей с таким уровнем операционной эффективности, как у тебя, не так уж и много. Должен признать, что это произвело на меня большое впечатление.</color>
NPC-Kalin(3)<Speaker>Калина</Speaker>;NPC-Jason(0)||:Хм, мы сделали то, о чём ты нас просил. +Не думаешь, что пора выполнить и своё обещание? +Можешь хотя бы объяснить, в чём суть этой миссии?
NPC-Kalin(3);NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>Ты ясно дал понять, что можешь отлично справиться с задачей, даже не зная всех подробностей. </color>+<color=#00CCFF>Однако я сделаю исключение, учитывая неплохие результаты этой работы... Что ты хочешь узнать?</color>
NPC-Kalin(3)<Speaker>Калина</Speaker>;NPC-Jason(0)||:Портфель, который ты отдал RO... База данных с сигналами, которая была в нём, позволила нам точно определить местонахождение скрывающихся Кукол. +Раз у тебя была возможность их найти, почему ты сам с ними не разобрался?
NPC-Kalin(3);NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>Кто-то отвечает за их поиск, а ты — за их уничтожение. Вот в чём суть. Передача информации тебе через эту базу данных была просто безопасным способом связи.</color>
NPC-Kalin(3)<Speaker>Калина</Speaker>;NPC-Jason(0)||:И мы же вычистили агентов «Белых фракций», чтобы обеспечить безопасность предстоящих двусторонних переговоров?
NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>Да.</color>
NPC-Jason(0)<Speaker>Командир</Speaker>||:...А я-то думал, что ты будешь это отрицать или попытаешься скрыть
NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>Ты бы и так догадался, даже если бы я ничего не сказал, так что в том, что я тебе рассказал, нет ничего страшного.</color>
NPC-Kalin(3)<Speaker>Калина</Speaker>;NPC-Jason(0)||:Почему ты не привлек больше спецов по безопасности, ведь это же важный саммит? Наверняка у Госбеза это получится лучше, чем у таких ЧВК, как мы.
NPC-Kalin(3);NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>Это потому, что кто-то считает, что ты справишься с этим лучше, чем Гозбес.</color>
NPC-Kalin(3)<Speaker>Калина</Speaker>;NPC-Jason(0)||:Что...
NPC-Kalin(3);NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>...</color>+<color=#00CCFF>Мы находимся не на территории нашей страны. Мы даже не находимся на территории страны, которая находится под нашим контролем.</color>+<color=#00CCFF>Если мы хоть немного проявим небрежность в том, что делаем, это может привести к дипломатической катастрофе. </color>+<color=#00CCFF>Поэтому они не могут — и не будут — действовать опрометчиво.</color>+<color=#00CCFF>Нам нужны люди, которые могут не раскрывать свою личность и при этом способны уничтожать врага.</color>+<color=#00CCFF>Ты был прав, когда говорил, что для этой работы нет никого лучше тебя.</color>
NPC-Kalin(3)<Speaker>Калина</Speaker>;NPC-Jason(0)||:В таком случае, может, расскажешь нам об Анже...
NPC-Kalin(3);NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>То, что ты — лучший выбор, не значит, что можешь требовать что угодно.</color>+<color=#00CCFF>У нас есть и альтернативные планы, даже без тебя. Никто не незаменим.</color>
NPC-Kalin(3)<Speaker>Калина</Speaker>;NPC-Jason(0)||:Цк...
NPC-Jason(0)<Speaker>Командир</Speaker>||:Я понимаю наше положение, и мы делаем всё возможное, чтобы выполнить свою часть договоренности. +Я не против пока не спрашивать про Анже, но у меня есть другой вопрос.
NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>Сегодняшняя сессия вопросов и ответов завершена.</color>
NPC-Jason(0)<Speaker>Командир</Speaker>||:Даже если от ответа на этот вопрос зависит успех или провал всей операции?
NPC-Jason(0)<Speaker>K</Speaker>||:<color=#00CCFF>...</color>
