()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>72</BIN><黑屏2><Night><BGM>BGM_stage5</BGM>:UMP45 встает. Вокруг царит кромешная тьма, но она всё же различает извивающиеся фигуры в тумане. +Словно подводные чудовища, вылезающие из чёрной волны, эти фигуры медленно, но верно начинают продвигаться к месту приземления 45-й.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Это что, защитные брандмауэры? Если это всё, на что ты способен, то ты мне ничего не сможешь сделать.
()<Speaker></Speaker>||<SE1>Gunfight</SE1>:UMP45 открывает огонь по этим мыслеформам. Разрушенные мыслеформы разлетаются, как пепел, но одна волна за другой накрывает ее, едва не заглушая.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Тц, как я и думала, это еще не все... Придется бежать, да...
()<Speaker></Speaker>||<SE1>Explode</SE1>:Бах! Бум—
()<Speaker></Speaker>||:В этот момент UMP45 трудно понять, на самом ли деле взрывы так громки, как ей кажется. +Пламя прожигает себе путь сквозь мыслеформы, а чёрная пустота словно поглощает все звуки, как будто это безмолвное, далекое небо. +Когда свет и тени отступают, создается впечатление, что ничего и не происходило. +UMP45 поспешно прорывается по выжженной тропе и мчится вперёд.
UMP45Mod(0)<Speaker>UMP45</Speaker>||<黑点1>:Похоже, 9-я и остальные всё ещё думают, как мне помочь. Мне нужно собрать больше информации.
()<Speaker></Speaker>||<黑点2>:Пробежав некоторое время по этому неизвестному пространству, пейзаж вокруг UMP45 начинает меняться.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Мне удалось обойти эти надоедливые брандмауэры?
AbandonedIsomer(0)<Speaker>???</Speaker>||<BGM>BGM_Empty</BGM><SE1>AVG_Bell</SE1>:Зачем ты сюда пришла?
UMP45Mod(0)<Speaker>UMP45</Speaker>||<白屏1>:Какого...
()<Speaker></Speaker>||<BIN>183</BIN><白屏2><BGM>m_avg_labyrinth</BGM>:Кажется, что у этого чёрного пространства есть граница, и когда 45-я подходит к полузакрытой двери и открывает её, ослепительный белый свет заставляет её рефлекторно прищуриться.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:...Тц!
()<Speaker></Speaker>||<白屏1>:Когда ей удалось разобрать, что же она видит перед собой, она на мгновение замерла.
AbandonedIsomer(0)<Speaker></Speaker>||<BIN>72</BIN><白屏2>:Это виртуальное пространство, похожее на то, что она видела на Уровне II, заполненное бесчисленным множеством девушек, внешне очень напоминающих M4. +Бесчисленные пары пустых глаз пристально смотрят прямо на 45-ю.
()<Speaker></Speaker>||:45-я подсознательно делает шаг назад, но дверь, которая была там раньше, исчезла.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:По крайней мере, мне удалось найти что-то, что на неё похоже...
AbandonedIsomer(0)<Speaker></Speaker>||:Копии M4 устремляются к UMP45, как те мыслеформы, что были раньше, а девушка, идущая впереди, подходит к UMP45.
AbandonedIsomer(0)<Speaker>???</Speaker>||:Почему, почему ты здесь? +Сюда тебе нельзя входить.
()<Speaker></Speaker>||:UMP45 пожимает плечами, но пальцы её крепче сжимают рукоятку оружия.
UMP45Mod(0)<Speaker>UMP45</Speaker>||<BGM>m_avg_tension</BGM>:Не тебе решать, могу я здесь находиться или нет.
AbandonedIsomer(0)<Speaker>???</Speaker>||:Ты не достойна здесь находиться. +Убирайся.
()<Speaker></Speaker>||:Едва девушка закончила говорить, как UMP45 отлетела в сторону, не успев даже поднять оружие. +Окружавшая её толпа девушек тоже начала атаковать.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Ты думаешь, я просто уйду, потому что ты мне так сказала...? +Я даже ещё не решила—
()<Speaker></Speaker>||:Нападения противников не ослабевают, несмотря на то, что сказала UMP45. Они просто медленно окружают её, словно машины, выполняющие приказ. +Они пытаются коснуться UMP45, и те места на ней, с которыми они соприкасаются, начинают постепенно исчезать.
()<Speaker></Speaker>||<SE2>Gunfight</SE2>:Бум-бум!
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Это плохо... Они гораздо опаснее тех мыслеформ... +К тому же, они прямо-таки переписывают инструкции по работе моего нейронного облака. Они что, собираются меня здесь полностью поглотить...?
()<Speaker></Speaker>||<SE1>Explode</SE1>:Баам—!
()<Speaker></Speaker>||:Внезапный взрыв заставляет толпу загадочных девушек на мгновение прекратить атаку, и 45-я пользуется моментом, чтобы отскочить в сторону.
()<Speaker></Speaker>||:Зззрраа—
()<Speaker></Speaker>||<SE1>AVG_whitenoise</SE1>:В этот момент поступает ответ с коммуникатора 45-ой. +Голоса отряда 404 слышны с перебоями на фоне электрических помех.
()<Speaker>416</Speaker>||:<color=#00CCFF>Эй, дурак, куда ты, черт возьми, пропала? Ты хоть представляешь, как перегролсь твоё тело?!</color>+<color=#00CCFF>Все наши нейронные облака сейчас заняты поддержанием этой чёртовой связи с тобой, а нам ещё и приходится помогать тебе отражать эту проклятую атаку на брандмауэр!</color>
UMP45Mod(0)<Speaker>UMP45</Speaker>||:...Если у тебя есть время меня ругать, так просто помоги мне избавиться от этой нелепой системы защиты.
UMP45Mod(0)<Speaker>416</Speaker>||:<color=#00CCFF>Не получится! Ты хоть представляешь, как M4 пытается ограничить наш доступ?!</color>+<color=#00CCFF>Тебе нужно немедленно уходить... Это всё, что мы можем сделать!</color>
()<Speaker></Speaker>||:Связь обрывается, и у 45-й нет времени гадать, это из-за брандмауэров или 416-я повесила трубку. +У неё есть всего мгновение передышки, а потом прежние атаки возобновляются с новой силой.
()<Speaker>UMP9</Speaker>||:<color=#00CCFF>45-я! Мы сможем заблокировать их атаки на несколько секунд, попробуй принудительно выйти из системы!</color>
()<Speaker></Speaker>||:Голос 9-й сопровождается неловкими движениями врагов, набрасывающихся на неё.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:(Но я пока не нашла то, что ищу...!)
UMP45Mod(0)<Speaker>UMP9</Speaker>||:<color=#00CCFF>45-я, ты меня слышишь?</color>+<color=#00CCFF>Отключаюсь —ззраа — нейронное облако!</color>+<color=#00CCFF>Постараюсь как можно сильнее помешать их атакам—</color>
UMP45Mod(0)<Speaker>UMP45</Speaker>||:(Я не могу просто так сдаться!)
UMP45Mod(0)<Speaker>UMP9</Speaker>||:<color=#00CCFF>45-я! Ты меня слышишь?!</color>
UMP45Mod(0)<Speaker>UMP45</Speaker>||:9-я, поспеши связаться с Командиром. Вот фрагменты памяти, которые мне удалось перехватить только что...
UMP45Mod(0)<Speaker>UMP9</Speaker>||:<color=#00CCFF>А как же ты?!</color>
UMP45Mod(0)<Speaker>UMP45</Speaker>||<黑屏1>0,5</黑屏1><SE1>AVG_tele_disconnect</SE1>:Я не могу — ззраа — пока уйти — ззраа
()<Speaker>UMP9</Speaker>||<BIN>157</BIN><黑屏2>0,5</黑屏2><BGM>BGM_Empty</BGM>:45-я!
()<Speaker></Speaker>||<BGM>BGM_Sneak</BGM>:В её голосе больше не слышны помехи. Члены отряда 404 толпятся вокруг тела UMP45, и все они пристально смотрят на неё.+Их окружают тусклый свет, зловоние трупов и повреждённые, испачканные каменные стены.
G11(2)<Speaker>Gr G11</Speaker>||:Что... что нам делать...? Она не шевелится...
HK416Mod(0)<Speaker>416</Speaker>||:Это конец... 45-ой?
UMP9Mod(6)<Speaker>UMP9</Speaker>||:Девчата...
G11(0)<Speaker>Gr G11</Speaker>||:Хм?
UMP9Mod(4)<Speaker>UMP9</Speaker>||<黑屏1>:Завалитесь! 45-я просто застряла там! Позаботься о её теле! +Вот та информация, которую 45-я так старалась нам передать... Нам нужно немедленно сообщить об этом Командиру, я уверена, у Командира найдётся способ вернуть её!
