()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>168</BIN><BGM>BGM_Moon</BGM>:... +С наступлением темноты в городе, в одном из темных переулков +AR-15 тихо сидит в «слепой зоне» камер наблюдения. Свет с улицы проникает в переулок и освещает ее глаза. +Даже когда она слышит шаги, она не оборачивается. Вместо этого—
AN94(5)<Speaker>АН-94</Speaker>||:Если ты направишь на меня пистолет, я могу рефлекторно выстрелить в ответ.
AN94(5);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:В таком случае не появляйСЯ внезапно позади меня.
AN94(5);AR15Mod(0)<Speaker></Speaker>||:AR-15 убирает оружие, но как только она собирается встать, АН-94 опускается перед ней на одно колено. +Это не жест верности, а просто способ облегчить то, что произойдет дальше. AR-15 прекрасно это понимает, поэтому она смотрит на тяжелый рюкзак, который только что сняла.
AN94(0)<Speaker>АН-94</Speaker>;AR15Mod(0)||:Я принесла твое снаряжение и батареи. Нас, возможно, ждет очень долгий бой, и Анже не хочет, чтобы мы тратили драгоценное время на беготню туда-сюда за припасами.
AN94(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Как ты сюда попала?
AN94(0)<Speaker>АН-94</Speaker>;AR15Mod(0)||:Через канализацию. Во время последней операции АК-12 нашла карту городской канализации и передала её мне. Там есть несколько мест, где можно незаметно разбить лагерь. +Правда, карта не слишком полная, и на ней отмечены подозрительные источники помех, которых лучше избегать. Если их отсеять, у нас останется всего пара возможных маршрутов.
AN94(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Было бы странно, если бы при такой куче белых вокруг не было источников помех. +Давай посмотрим, что ты принесла... +Патроны... и их много, хватит на двоих. Набор для фильтрации сигналов, биотермический анализатор... а что здесь делает этот лом?
AN94(0)<Speaker>АН-94</Speaker>;AR15Mod(0)||:АК-12 велела мне взять его с собой, сказала, что он может пригодиться. Кстати, это твоя рация, она зашифрована.
AN94(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Спасибо... а что это?
AN94(0);AR15Mod(0)<Speaker></Speaker>||:AR-15 поднимает книгу, которая лежала на дне тактической сумки.
AN94(0)<Speaker>АН-94</Speaker>;AR15Mod(0)||:Это Священное Писание.
AN94(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:А АК-12 просила тебя принести и это тоже?
AN94(0)<Speaker>АН-94</Speaker>;AR15Mod(0)||:Да. Она сказала, что это может пригодиться перед операцией.
AN94(0);AR15Mod(5)<Speaker>ST AR-15</Speaker>||:Будто это возможно... +...Понятно, там был слот для чипа с предустановленными приложениями.
AN94(0)<Speaker>АН-94</Speaker>;AR15Mod(5)||:Поскольку у тебя не получается подключиться к сети Зенер, чип должен помочь тебе обновить основные функциональные возможности.
AN94(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:...Спасибо за заботу.
AN94(0)<Speaker>АН-94</Speaker>;AR15Mod(0)||:Это подготовила АК-12. Если хочешь поблагодарить кого-то, то благодари её.
AN94(0);AR15Mod(0)<Speaker>ST AR-15</Speaker>||:Ты всё время говоришь об AK-12, ты что, так сильно в неё влюблена?
AN94(4)<Speaker>АН-94</Speaker>;AR15Mod(0)||:Это не любовь... +С самого момента своего создания я была призвана сопровождать и защищать её. Это смысл моей жизни, ориентир для всех моих поступков, моя судьба и мое предназначение. Думаю, это точное описание.
AN94(4);AR15Mod(4)<Speaker>ST AR-15</Speaker>||:Ты меня просто до тошноты доводишь.
AN94(3)<Speaker>АН-94</Speaker>;AR15Mod(4)||:Судя по твоим боевым отчётам, ты не сильно отличаешься от меня в том, что касается твоей работы для M4.
AN94(3);AR15Mod(4)<Speaker>ST AR-15</Speaker>||:Это всё из-за этого чёртового основного приказа... +Но M4 теперь для меня ничего не значит. +А ты, с другой стороны, говоришь так, как верующие описывают своего Бога в той Библии. +Это просто ненормально.
AN94(0)<Speaker>АН-94</Speaker>;AR15Mod(4)||:Ты раньше читала Библию?
AN94(0);AR15Mod(4)<Speaker>ST AR-15</Speaker>||:В моей базе данных есть некоторые базовые сведения об этом, а также информация о религиях и образе жизни людей. +...Люди поклоняются своему Богу и надеются, что в ответ Бог их спасет.
AN94(0)<Speaker>АН-94</Speaker>;AR15Mod(3)||:Тогда... ты веришь в Бога?
