()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BGM>BGM_Hello</BGM><BIN>82</BIN>:...Внутри убежища в Белграде.
NPC-Maid(0)<Speaker>Марло</Speaker>||:Командир, мисс Калина, прошу сюда.
NPC-Kalin(2)<Speaker>Калина/Speaker>||:Что это за место?
NPC-Jason(0)<Speaker>K</Speaker>||:Одно из моих укрытий. +Здесь ты можешь развернуть свой командный пункт на время проведения операций в этом городе. +Оборудование, имеющееся здесь, обеспечит тебе широкий радиус действия связи, чтобы твой штаб мог поддерживать связь с твоими Куклами по всему городу.
NPC-Kalin(2)<Speaker>Калина/Speaker>||:Не могу поверить... Это двухнаправленная низкочастотная система приёмопередатчиков 50-го типа на базе MSE... и их тут целых три!  +Устройства подавления сигнала в замкнутом контуре! Чёрт возьми, они установлены в каждой комнате... +Неужели этот мистер К. может так легко разбрасываться военным оборудованием...?
NPC-Jason(0)<Speaker>K</Speaker>||:Главное, чтобы это помогало задаче. +Если у тебя есть ещё какие-то просьбы, дай знать Марло. Она к твоим услугам. +Если больше ничего нет, поговорим во время следующего планового общения. +Остальное оставляю на тебя, Марло.
NPC-Maid(0)<Speaker>Марло</Speaker>||:Да, Мастер.
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Г-н К, может, и скупится на информацию, но в других вопросах он очень щедр...
NPC-Kalin(3);NPC-Maid(0)<Speaker>Марло</Speaker>||:Мисс Калина, чем я могу вам помочь?
NPC-Kalin(1)<Speaker>Калина/Speaker>;NPC-Maid(0)||:А, тогда расскажи мне об Анже, ладно?
NPC-Kalin(1);NPC-Maid(0)<Speaker>Марло</Speaker>||:Без комментариев.
NPC-Kalin(3)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Ах... как я и думала, не сработало... + Эх, ладно, забудь. Мисс Марло, не могла бы ты нам показать, что здесь есть?
NPC-Kalin(3);NPC-Maid(0)<Speaker>Марло</Speaker>||<黑屏1>:Понятно.
()<Speaker></Speaker>||<黑屏2>:...
NPC-Maid(0)<Speaker>Марло</Speaker>||:Это помещение для хранения боеприпасов.+Туалет находится впереди справа.
NPC-Kalin(3)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Здесь просто слишком мало туалетов... их не хватает на всех.
NPC-Kalin(3);NPC-Maid(0)<Speaker>Марло</Speaker>||:Напомню, что у Кукол нет физиологической необходимости ходить в туалет.
NPC-Kalin(3)<Speaker>Калина/Speaker>;NPC-Maid(0)||:...+...Я это знаю! Я говорю о наших сотрудниках из отдела логистики!
NPC-Kalin(3);NPC-Maid(0)<Speaker>Марло</Speaker>||:Я бы не советовала рассказывать слишком многим людям, где находится это укрытие. Остальные сотрудники «Грифона» могут оставаться на прежнем месте.
NPC-Kalin(3)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Хм... Ладно...
NPC-Kalin(3);NPC-Maid(0)<Speaker>Марло</Speaker>||:Давай перейдем в следующую зону.+В этом центральном помещении находится центр системы MSE, где установлены два резервных источника аварийного питания — вот здесь и вот здесь. Отсюда можно наблюдать за состоянием сети, я уже переслала тебе схемы интерфейсов и передачи данных.
NPC-Kalin(0)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Хм... значит, их можно установить вот так... +Можно мне сейчас попробовать доработать это оборудование?
NPC-Kalin(0);NPC-Maid(0)<Speaker>Марло</Speaker>||<黑屏1>:Конечно. Я могу тебе помочь.
NPC-Kalin(0)<Speaker>Калина/Speaker>||<黑屏2><BIN>85</BIN>:Отлично! Так это будет гораздо удобнее!+Спасибо, мисс Марло. Я и не думала, что в твоей базе данных столько чертежей!
NPC-Kalin(0);NPC-Maid(0)<Speaker>Марло</Speaker>||:Не за что.
NPC-Kalin(0)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Так макет будет похож на тот, что был в базовой версии, а значит, Командиру тоже будет проще им пользоваться.
NPC-Kalin(0);NPC-Maid(0)<Speaker>Марло</Speaker>||:Если больше ничего не нужно, я перейду в режим ожидания.
NPC-Kalin(2)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Подожди! Подожди минутку! Давай поговорим!
NPC-Kalin(2);NPC-Maid(0)<Speaker>Марло</Speaker>||:Поговорим?
NPC-Kalin(0)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Да, да!
NPC-Kalin(0);NPC-Maid(0)<Speaker>Марло</Speaker>||:О чем поболтаем?
NPC-Kalin(3)<Speaker>Калина/Speaker>;NPC-Maid(0)||:А... э... э-э...
NPC-Kalin(3);NPC-Maid(0)<Speaker>Марло</Speaker>||:Если ничего важного не произойдет, я перейду в режим ожидания.
NPC-Kalin(2)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Подожди! +Ах, да... верно, мисс Марло, а какой обычно бывает мистер К.?
NPC-Kalin(2);NPC-Maid(0)<Speaker>Марло</Speaker>||:Я не совсем понимаю, о чём ты.
NPC-Kalin(3)<Speaker>Калина/Speaker>;NPC-Maid(0)||:То есть... каким он обычно бывает? +Например... к нему часто приходят гости?
NPC-Kalin(3);NPC-Maid(0)<Speaker>Марло</Speaker>||:Секретность — это наш девиз. К нам никто не приходил.
NPC-Kalin(3)<Speaker>Калина/Speaker>;NPC-Maid(0)||:А г-н К. с тобой разговаривает?
NPC-Kalin(3);NPC-Maid(0)<Speaker>Марло</Speaker>||:Мастеру приходится каждый день уделять много времени сбору и анализу информации. +Он не тратит время на пустое общение.
NPC-Kalin(3)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Эх... но отгораживаться от других — это не лучший способ относиться к себе... +Наверное, же есть предел тому, насколько глубоко можно погрузиться в работу, правда?
NPC-Kalin(3);NPC-Maid(0)<Speaker>Марло</Speaker>||:Спасибо за твою заботу. +Однако Мастер ведет очень упорядоченный образ жизни, и за его здоровьем тоже тщательно следят.
NPC-Kalin(2)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Упорядоченный?
NPC-Kalin(2);NPC-Maid(0)<Speaker>Марло</Speaker>||:Мастер составил для себя расписание. +Он очень скрупулёзен в своих делах и повседневной жизни и не оставляет никаких лазеек. Он также не тратит зря ни время, ни силы. Всё должно работать с максимальной эффективностью.
NPC-Kalin(2)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Он не может отлучиться, даже на секунду?
NPC-Kalin(2);NPC-Maid(0)<Speaker>Марло</Speaker>||:Ни на секунду.
NPC-Kalin(5)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Это как-то немного пугает... +Не говори мне, что мистер К — просто кукла-робот, которая умеет только работать? +Ахаха... Я просто пошутила...
NPC-Kalin(5);NPC-Maid(0)<Speaker>Марло</Speaker>||:Пожалуйста, забери свои слова обратно.
NPC-Kalin(2)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Э-э?
NPC-Kalin(2);NPC-Maid(0)<Speaker>Марло</Speaker>||:Даже бы Мастер и управлял своей жизнью с абсолютной точностью, он всё равно не бесчувственная машина. +Он просто поступает так, чтобы защитить всех, даже если другие не понимают его методов. +Поэтому я не потерплю никакой критики в адрес Мастера.
NPC-Kalin(7)<Speaker>Калина/Speaker>;NPC-Maid(0)||:Я... прости...
NPC-Kalin(7);NPC-Maid(0)<Speaker>Марло</Speaker>||:Когда-нибудь ты тоже это поймёшь. +Если больше ничего не нужно, позволь мне уйти.
NPC-Kalin(7)<Speaker>Калина/Speaker>||:Ла... ладно...
()<Speaker></Speaker>||:Марло уходит.
NPC-Kalin(3)<Speaker>Калина/Speaker>||<黑屏1>:Правда... Непонятый подход... +Может, если отбросить нашу точку зрения, мы в конце концов не так уж и отличаемся...
NPC-Kalin(0)<Speaker>Калина/Speaker>||<黑屏2><BIN>8</BIN>:Уф... +Пришлось немного потрудиться, но в целом этот временный командный пункт выглядит неплохо.
NPC-Kalin(0)<Speaker>Командир</Speaker>||:Ты уже закончила?
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Я постаралась сделать так, чтобы это помещение было таким же функциональным, как командный пункт на нашей базе. Ещё я внесла небольшие изменения, чтобы мы могли общаться с внешним миром в более безопасном режиме связи.
NPC-Kalin(3)<Speaker>Командир</Speaker>||:То есть ты говоришь, что мы можем поговорить с Персикой?
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Думаю, пока тебе лучше не связываться с Персикой. Скорее всего, за ней сейчас очень пристально следят...
NPC-Kalin(3)<Speaker>Командир</Speaker>||:А как насчет остальных?
NPC-Kalin(3)<Speaker>Калина/Speaker>||<BGM>BGM_Empty</BGM>:Я вела переговоры с корпорацией WAVE. Хотя это информационное агентство, которое порекомендовал мистер Уиткини, оно выглядит немного подозрительно. Но, в любом случае, у нас сейчас нет лучшего варианта...
NPC-Kalin(3)<Speaker>Командир</Speaker>||<BGM>BGM_Brain</BGM>:Думаю, это значит, что ты на верном пути.
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Да. Вообще-то я как раз тебя искала, чтобы тебе об этом рассказать. +WAVE помогло нам собрать некоторую информацию, и хотя это было дороговато... но оно того стоило.
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Хм, не хочешь поделиться?
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Помнишь, что говорил мистер Уиткини. Раньше... о том, что это задание нам поручил сотрудник Госбезопасности?+Сначала я думала, что мистер К. — агент Госбезопасности или что-то в этом роде, но только после того, как я просмотрела всю информацию, поняла... что мы на самом деле находимся довольно низко в иерархии...+К. не является сотрудником Госбезопа, по крайней мере, судя по их списку персонала. Так что для Госбезара мы всего лишь... субподрядчики субподрядчика.
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Перчатка поверх другой перчатки, да...
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Помимо Анже, в этом городе также принимаются официальные меры со стороны Госбеза. Через три дня состоится очень важный двусторонний саммит, так что легко понять, почему мистер К. хочет, чтобы мы избавились от проникновения Кукол из «Белой фракции»...
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Это же та встреча, о которой раньше говорили по телевизору...
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Верно, но во всём этом есть что-то странное... +Эта операция в Белграде — как официально направленные агенты, так и люди, поддерживавшие связь с К — была инициирована не штаб-квартирой Бюро, а Шестым управлением внутренней безопасности.
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Шестое управление? +Но если я не ошибаюсь, то за работу по дипломатической защите отвечает Девятое управление… не так ли?
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Именно. Шестой отдел в основном занимается сверхсекретными делами, связанными с передовыми технологиями и оборонной промышленностью. +Вот почему это так странно!+Зачем им посылать людей из Шестого отдела только для обеспечения безопасности саммита? +Почему К находится в Белграде, выполняя приказы отдела, который занимается сверхсекретными технологиями? +И какое отношение всё это имеет к Анже?
NPC-Kalin(3)<Speaker>Командир</Speaker>||:...+Я это запомню.+Ты что-нибудь нашла про Анже?
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Да... +Но всё, что мне удалось раздобыть, не давало глубокого понимания. +В основном это были боевые отчёты с того времени, когда её в прошлом прикомандировали к Грифону в качестве Командира, за исключением вот этого...
()<Speaker></Speaker>||:...Клик. +Попытка прочитать файл завершилась неудачей.
()<Speaker>Командир</Speaker>||:Он... повреждён?
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Файл не поврежден. Судя по деталям, похоже, что кто-то удалил информацию.
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Этот период времени... это дневник действий Анже до и после операции «Бабочка»... + Ты или WAVE сможете восстановить этот файл?
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Я уже пробовала... +Но поскольку информацию специально уничтожили, восстановить её практически невозможно.
()<Speaker>Командир</Speaker>||<黑屏1>:...
()<Speaker></Speaker>||<黑屏2><BIN>82</BIN><Night>:...Посреди ночи. +Я сижу у себя в квартире, размышляя над выводами Калины и обо всём, что касается этого города.
()<Speaker>Командир</Speaker>||<黑屏1>:...+(К — посредник между Госбезом и нами, а это значит, что К на одной стороне с Госбезом.) +(Но знает ли К на самом деле, в чём заключается настоящая цель Госбеза?) +(Или мы все — всего лишь пешки?)
NPC-Ange(0)<Speaker></Speaker>||<黑屏2><BIN>9</BIN>:Какую роль во всём этом сыграла Анже? +Если всё было так, как сказал К, и Анже до сих пор выполняет задание, порученное ей Госбезопасностью, то зачем Госбез предоставил мне такую информацию?
()<Speaker></Speaker>||<黑屏1>:Мне ей помогать... +Или следить за ней? +А если Анже действительно ослушается приказа, который ей дал Госбез... то какую роль тогда играет К?
()<Speaker></Speaker>||<黑屏2><BIN>82</BIN><Night>:...Кто-то стучит в дверь.
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Вы ещё не спите, Командир?
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Ой, я уже почти ложился. +Просто сейчас... я не могу перестать думать о некоторых вещах.
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Бессонные ночи вредны для здоровья, ты же знаешь. +Вот, я подогрела молоко, выпей, пока оно горячее!
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Мм... спасибо.
NPC-Kalin(0)<Speaker>Калина/Speaker>||:Мисс Марло разрешила мне заглянуть в их базу данных, так что я всё это время искала полезную информацию. +Я поспешила сюда, потому что наткнулась на кое-что. +Но всё же... ты всё-таки думал об Анже, да?
NPC-Kalin(0)<Speaker>Командир</Speaker>||:...Да, всё это просто странно, как ни крути. +Такое ощущение, будто мне не хватает кусочка пазла, и я не могу сложить всё воедино.
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Всё потому, что К контролирует всю информацию и ни черта не рассказывает! +Хотя он всё время говорит, что расскажет нам больше, когда мы выполним миссию, до сих пор он либо притворялся, что ничего не знает, либо кормил нас ерундой. +Я не верю, что он всё нам объяснит, когда мы всё сделаем!
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Но всё равно нам нужно сыграть свою роль. +Если он хочет послушных исполнителей, то мы, в принципе, будем делать то, что он скажет.
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Но даже если мы это сделаем...
()<Speaker></Speaker>||:...Мы с Калиной замолчали.
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Эх, давай пока отложим в сторону эти загадочные проблемы. +Я ещё нашла более подробную информацию о предстоящем саммите. +Вот вчерашний выпуск местной газеты.
()<Speaker></Speaker>||:—"В преддверии предстоящего международного саммита городские власти объявили о введении 17 новых мер безопасности, чтобы обеспечить порядок во время церемонии открытия..."
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Белград... На Европейской политической карте он считается нейтральной территорией, так что если и будут двусторонние переговоры, то они пройдут именно здесь, а Неосоветский Союз и Организация Объединенных Наций будут представлены своими послами. +Этот город находится вне зоны влияния обеих сторон, так что выбор этого места, наверное, тщательно обдумывался.
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Нейтральная территория, значит... Доверие по-прежнему нелегко завоевать. Конечно, на нейтральной территории они смогут избежать политического давления с обеих сторон. Но минус в том, что сюда очень легко проникнуть тем, кто против саммита...
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Это правда... +Я тоже слышала некоторые слухи о том, что у нас были планы вступить в Организацию Объединенных Наций, но идея союза со старыми врагами вызвала резкую негативную реакцию внутри страны. Возможно, люди не так любят мир, как об этом говорят...
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Непросто пожать руку смертельному врагу. +А для некоторых людей мир, погруженный в конфликт, лучше отвечает их интересам.
NPC-Kalin(3)<Speaker>Калина/Speaker>||:Эх... как это запутанно...
NPC-Kalin(3)<Speaker>Командир</Speaker>||:Кроме того... ты ещё что-нибудь нашла?
