()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BGM>BGM_Brain</BGM><BIN>159</BIN><黑屏2>:... +В Таллинне, на противоположной стороне города. +Отряд 404 сейчас прочесывает руины.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Я нашла источник помех.
UMP45Mod(0)<Speaker></Speaker>||:UMP45 машет рукой остальным, призывая их собраться вокруг.
HK416Mod(0)<Speaker>416</Speaker><Shake>;UMP45Mod(0)||<白屏1>:Ты что, шутишь? +Разве это не...
HK416()<Speaker>416</Speaker>||<BIN>198</BIN><白屏2>:Человеческий труп?!
()<Speaker>UMP45</Speaker>||:Но это она является источником сбоя — ну, одним из них. +Хм... нижняя часть её тела механическая. Признаков жизни нет. +Похоже, она умерла не так давно, но что это за лепестки?
()<Speaker>416</Speaker>||:Ты собираешься проводить здесь вскрытие?
()<Speaker>UMP45</Speaker>||:Ну, мы уже сделали практически всё остальное, да и к тому же мы выставим за это счёт.+Она умерла от облучения? 9-я, помоги мне поднять ей руку. +...
()<Speaker>UMP45</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:...9-я?
()<Speaker></Speaker>||<黑屏2><BIN>199</BIN><SE1>AVG_whitenoise</SE1><BGM>m_avg_labyrinth</BGM>:В какой-то момент погода изменилась. +Тонкий туман окутывает UMP45, и здесь никого нет, кроме трупа мертвой девушки в её объятиях. +Слышится тихое шелестение ткани, и кажется, будто вокруг нее много людей что-то бормочут. Голос кажется UMP45 знакомым, но она не может его точно опознать. +И тут холодная и нежная рука девушки крепче сжимает её руку. 
悠远的声音()<Speaker>Отдаленный голос</Speaker>||<SE1>AVG_Bell</SE1>:Первая ушла в ночь с низкокачественными вещами для Отца. Чернота ночи окрасила полы её платья, а цветы завяли в клетке падших. +Вторая была неполноценна и упала, не успев выйти. Цвета вечера заморозили её время, и цветы перестали расти среди вечных страданий. +Третья взяла сестёр за руки, и вместе они устремились навстречу дню. Солнечный свет разбился о её чёрные рукава, и цветы упали в холодную воду, так и не распустившись. +Четвёртая потеряла подругу и заблудилась в тумане. Её время ещё не пришло, и она просто живёт, подражая своим родственницам. +...Пятая стоит передо мной?
UMP45()<Speaker>UMP45</Speaker>||:M4? Нито?
悠远的声音()<Speaker>Отдаленный голос</Speaker>||<SE1>AVG_Bell</SE1>:Ты одна из нас? +Ты избранная? +Или, может быть, ты готова принять нас?
UMP45()<Speaker>UMP45</Speaker>||:Это что, какой-то код? +Нет, это принудительное подключение... Что-то считывает данные из моего нейронного облака... Такое ощущение, что оно сейчас взорвётся...
悠远的声音()<Speaker>Отдаленный голос</Speaker>||<黑屏1><SE1>AVG_Bell</SE1>:Ах, она нас слышит. +Ах, она знает, где наш друг. +Хотя Избранный ещё не появился, тот, кто готов принять нас, наконец-то пришёл. +Замечательно. +Замечательно.
悠远的声音()<Speaker>Отдаленный голос</Speaker>||<SE1>AVG_Bell</SE1><BIN>9</BIN><黑屏2>:Замечательно.
NytoIsomer(0)<Speaker>Отдаленный голос</Speaker>||<黑屏1><SE1>AVG_Bell</SE1>:Замечательно.
急迫的声音()<Speaker>Испуганный голос</Speaker>||<黑屏2><黑屏1>:...Старшая сестра! 45-я, проснись!
()<Speaker></Speaker>||<BIN>159</BIN><黑屏2><SE1>AVG_tele_disconnect</SE1><BGM>BGM_Empty</BGM>:Окружающий пейзаж внезапно озарился светом. +UMP45 оглядывается. Все члены отряда 404 стоят рядом с ней. +Тело девушки тихо лежит у неё на руках. Её лицо выглядит умиротворённым, словно она просто спит.
UMP9Mod(4)<Speaker>UMP9</Speaker>||<SE1>Heartbeat</SE1>:Ты не спишь? +Ты меня видишь, 45-я? Ответь мне—
UMP9Mod(4);UMP45Mod(0)<Speaker>UMP45</Speaker>||<BGM>BGM_Truth</BGM>:Ладно, хватит меня по лицу бить, я в порядке.
UMP9Mod(5)<Speaker>UMP9</Speaker>;UMP45Mod(0)||:Честно говоря, ты меня до смерти напугала. +Оставь все эти притворства на Хэллоуин.
UMP9Mod(5);UMP45Mod(0)<Speaker>UMP45</Speaker>||:Ты тоже это видела?
UMP9Mod(0)<Speaker>UMP9</Speaker>;UMP45Mod(0)||:Что? Что видела?
UMP9Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:Нет... ничего, просто какие-то странные сцены.
UMP9Mod(5)<Speaker>UMP9</Speaker>;UMP45Mod(0)||:45-я, не забудь проверить своё нейронное облако. +Кто знает, что там было в том пакете данных, который только что прошел.
UMP45Mod(0)<Speaker>UMP45</Speaker>||:Конечно. +(Что-то только что со мной произошло... Похоже, как тогда, когда я была с 40-ой.) +(Это был прямой взлом моего базового слоя Уровня III. Это была та же самая технология? Мы наконец нашли зацепку?)+...О нет!
HK416Mod(0)<Speaker>416</Speaker>;UMP45Mod(0)||:Что?
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:Их внезапное соединение было попыткой найти что-то, и они нашли то, что искали, в моём нейронном облаке!
HK416Mod(0)<Speaker>416</Speaker>;UMP45Mod(0)||:О чём именно ты говоришь?
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:Тц. 9-я, немедленно свяжись с Командиром. 416-я, соедини меня с Командой AR. Если я не ошибаюсь, главное событие вот-вот начнется.
()<Speaker></Speaker>||<BIN>89</BIN><黑屏2>:... +Вскоре после этого — на другом конце Таллинна.
SSG3000(0)<Speaker>SSG 3000</Speaker>||<BGM>BGM_Room</BGM>:Что? Солнце снова вышло? Туман тоже рассеялся.
M4A1Mod(0)<Speaker>M4A1</Speaker>;SSG3000(0)||:Небо и не темнело.
M4A1Mod(0);SSG3000(0)<Speaker>SSG 3000</Speaker>||:...Правда? +Лидер, с тобой всё в порядке?
